uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"1730ad24-86db-4393-b3bf-eaf4e74edbce","2019-02-07","HARV_043.basePlot.ltr","D01","HARV","HARV_043","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV043.20181015.NDL","NEON.LTR.HARV043.20181015.NDL.CN","A00000032837","vegetation","N",,-28.8,,53.61,,"OK","OK","OK","OK",1,"Nitrogen peak too small. Data removed","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"52156e00-23f0-40e7-90fe-03d8d53bc0f4","2019-02-07","HARV_050.basePlot.ltr","D01","HARV","HARV_050","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV050.20181015.LVS","NEON.LTR.HARV050.20181015.LVS.CN","A00000032782","vegetation","N",-3.1,-29.9,1.04,51.80,50.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"aaf6b800-0f99-467c-828d-59ad58301032","2019-02-07","HARV_051.basePlot.ltr","D01","HARV","HARV_051","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV051.20181015.LVS","NEON.LTR.HARV051.20181015.LVS.CN","A00000032832","vegetation","N",-4.2,-29.7,1.03,51.19,49.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"17d797d6-77c8-43dc-bd79-d7a8c32727e8","2019-02-07","HARV_040.basePlot.ltr","D01","HARV","HARV_040","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV040.20181015.LVS","NEON.LTR.HARV040.20181015.LVS.CN","AA00000032806","vegetation","N",-4.4,-31.0,0.70,51.38,72.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4ee229d0-ced8-4720-a0b9-f7e64436105d","2019-02-21","HARV_033.basePlot.ltr","D01","HARV","HARV_033","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV033.20181015.NDL","NEON.LTR.HARV033.20181015.NDL.CN","A00000032749","vegetation","Y",1.9,,0.53,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"03f51250-33c6-4c56-aceb-3993562a2ac5","2019-02-21","HARV_035.basePlot.ltr","D01","HARV","HARV_035","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV035.20181015.NDL","NEON.LTR.HARV035.20181015.NDL.CN","A00000032798","vegetation","Y",-3.3,,0.58,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"13fbab09-c075-4d42-bc1d-302a19cf988e","2019-02-21","HARV_038.basePlot.ltr","D01","HARV","HARV_038","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV038.20181015.LVS","NEON.LTR.HARV038.20181015.LVS.CN","A00000032793","vegetation","Y",-4.2,,0.65,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"0e05d43e-f96d-43c1-8757-651c9e94f37c","2019-02-21","HARV_041.basePlot.ltr","D01","HARV","HARV_041","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV041.20181015.NDL","NEON.LTR.HARV041.20181015.NDL.CN","A00000032784","vegetation","Y",-0.6,,0.45,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"46f59137-15c1-416b-99fb-35ecd147340b","2019-02-21","HARV_043.basePlot.ltr","D01","HARV","HARV_043","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV043.20181015.NDL","NEON.LTR.HARV043.20181015.NDL.CN","A00000032837","vegetation","Y",-1.3,,0.56,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"55684c33-b260-4ca5-8ea9-ce68f640e7c8","2019-02-07","HARV_052.basePlot.ltr","D01","HARV","HARV_052","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV052.20181015.NDL","NEON.LTR.HARV052.20181015.NDL.CN","A00000032741","vegetation","N",,-29.1,,53.42,,"OK","OK","OK","OK",1,"Nitrogen peak too small. Data removed","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
