uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"064ac022-a3dc-4ecf-ab79-5e40b5880c73","2018-12-17","HARV_037.basePlot.ltr","D01","HARV","HARV_037","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV037.20181015.NDL","NEON.LTR.HARV037.20181015.NDL.LIG","A00000032786",1,0.505,15.39,17.69,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"efee252d-bc09-4a3b-b6f5-05e650a4c87b","2018-12-17","HARV_037.basePlot.ltr","D01","HARV","HARV_037","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV037.20181015.LVS","NEON.LTR.HARV037.20181015.LVS.LIG","A00000032826",1,0.538,25.23,15.63,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"48e39dee-5d2d-4064-9c39-7391169ab4d7","2018-12-13","HARV_046.basePlot.ltr","D01","HARV","HARV_046","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV046.20181015.NDL","NEON.LTR.HARV046.20181015.NDL.LIG","A00000032824",1,0.538,30.19,22.92,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"a8c8d6c6-d3fb-4399-9748-ce89f160d59b","2018-12-13","HARV_041.basePlot.ltr","D01","HARV","HARV_041","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV041.20181015.LVS","NEON.LTR.HARV041.20181015.LVS.LIG","A00000032839",1,0.538,28.74,19.21,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"f3b03324-18fe-4281-bf88-37fa8319b13a","2018-12-13","HARV_051.basePlot.ltr","D01","HARV","HARV_051","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV051.20181015.LVS","NEON.LTR.HARV051.20181015.LVS.LIG","A00000032842",1,0.512,27.31,22.57,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"d75b5c44-fec3-49f6-ba6b-bf9466f7e5c5","2018-12-13","HARV_045.basePlot.ltr","D01","HARV","HARV_045","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV045.20181015.LVS","NEON.LTR.HARV045.20181015.LVS.LIG","A00000032814",1,0.532,27.70,23.21,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"a6e75cf3-65b4-41df-943d-b441f93072bf","2018-12-17","HARV_035.basePlot.ltr","D01","HARV","HARV_035","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV035.20181015.NDL","NEON.LTR.HARV035.20181015.NDL.LIG","A00000032816",1,0.523,17.49,18.66,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"63c07ec5-a8e8-49f7-8573-834fd27999c2","2018-12-13","HARV_043.basePlot.ltr","D01","HARV","HARV_043","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV043.20181015.NDL","NEON.LTR.HARV043.20181015.NDL.LIG","A00000032836",1,0.524,21.61,21.05,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"e965e116-5b22-4271-b2c3-1fcf56905b71","2018-12-17","HARV_036.basePlot.ltr","D01","HARV","HARV_036","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV036.20181015.LVS","NEON.LTR.HARV036.20181015.LVS.LIG","A00000032838",1,0.529,23.30,19.03,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"10f80cb6-97d5-477e-bf49-072c4083ce43","2018-12-13","HARV_049.basePlot.ltr","D01","HARV","HARV_049","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV049.20181015.NDL","NEON.LTR.HARV049.20181015.NDL.LIG","A00000032802",2,0.515,25.96,21.69,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"c6a7fcb3-fdf1-4706-83f3-8599b09a3968","2018-12-13","HARV_052.basePlot.ltr","D01","HARV","HARV_052","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV052.20181015.NDL","NEON.LTR.HARV052.20181015.NDL.LIG","A00000032775",1,0.522,20.77,19.30,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"b0bcd18e-a331-4a0c-8fcd-14a80b10a1ae","2018-12-17","HARV_035.basePlot.ltr","D01","HARV","HARV_035","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV035.20181015.LVS","NEON.LTR.HARV035.20181015.LVS.LIG","A00000032805",1,0.533,31.47,20.15,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"134bef35-cd89-46f7-b4d5-2c5b4f146b63","2018-12-13","HARV_049.basePlot.ltr","D01","HARV","HARV_049","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV049.20181015.LVS","NEON.LTR.HARV049.20181015.LVS.LIG","A00000032766",1,0.512,22.58,14.31,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
