uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"4f1ac938-a147-4d1e-8f4d-60a3c3c09a06","2021-01-29","BLAN_063.basePlot.ltr","D02","BLAN","BLAN_063","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN063.20201109.LVS","NEON.LTR.BLAN063.20201109.LVS.LIG","A00000162719",1,0.466,16.39,20.93,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"79d0cec1-fd07-42c8-a490-c256b63e85be","2021-01-29","BLAN_044.basePlot.ltr","D02","BLAN","BLAN_044","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN044.20201109.LVS","NEON.LTR.BLAN044.20201109.LVS.LIG","A00000162692",1,0.458,10.57,14.24,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"3bf8fe22-9dd7-48b9-a913-629e59a1a447","2021-01-29","BLAN_063.basePlot.ltr","D02","BLAN","BLAN_063","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN063.20201109.NDL","NEON.LTR.BLAN063.20201109.NDL.LIG","A00000162723",1,0.121,23.40,17.88,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"ef3f3592-f157-43ed-a75f-29586519dac4","2021-01-29","BLAN_053.basePlot.ltr","D02","BLAN","BLAN_053","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN053.20201109.LVS","NEON.LTR.BLAN053.20201109.LVS.LIG","A00000162710",1,0.461,5.82,13.56,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"b363c31b-cca4-4d21-a4c4-8748bf536c5b","2021-01-29","BLAN_048.basePlot.ltr","D02","BLAN","BLAN_048","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN048.20201109.LVS","NEON.LTR.BLAN048.20201109.LVS.LIG","A00000162704",1,0.495,17.95,22.01,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"90c062e9-daaf-40d4-a922-15f4932537de","2021-01-29","BLAN_047.basePlot.ltr","D02","BLAN","BLAN_047","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN047.20201109.LVS","NEON.LTR.BLAN047.20201109.LVS.LIG","A00000162698",1,0.494,15.34,23.66,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"d0f2e73f-7091-4d58-bf44-244a67e16db7","2021-01-29","BLAN_057.basePlot.ltr","D02","BLAN","BLAN_057","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN057.20201109.LVS","NEON.LTR.BLAN057.20201109.LVS.LIG","A00000162716",1,0.467,8.74,13.22,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"874c1ce5-a18e-4c1d-a12c-2d923e209534","2021-01-29","BLAN_036.basePlot.ltr","D02","BLAN","BLAN_036","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN036.20201109.LVS","NEON.LTR.BLAN036.20201109.LVS.LIG","A00000162695",1,0.480,10.25,18.18,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"9553119c-1458-4bed-b2df-a09e2116714b","2021-01-29","BLAN_052.basePlot.ltr","D02","BLAN","BLAN_052","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN052.20201109.LVS","NEON.LTR.BLAN052.20201109.LVS.LIG","A00000162707",1,0.489,6.04,14.59,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"4fac1feb-5268-43fe-9a37-f4849bd36c78","2021-01-29","BLAN_050.basePlot.ltr","D02","BLAN","BLAN_050","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN050.20201109.LVS","NEON.LTR.BLAN050.20201109.LVS.LIG","A00000162689",1,0.494,6.87,14.68,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"528e242b-4b53-4963-8cd0-f78fe2aa7b59","2021-01-29","BLAN_035.basePlot.ltr","D02","BLAN","BLAN_035","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN035.20201109.LVS","NEON.LTR.BLAN035.20201109.LVS.LIG","A00000162701",1,0.486,4.94,12.91,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"e4761ff5-9afa-4694-9704-9fe6c6f09dda","2021-01-29","BLAN_032.basePlot.ltr","D02","BLAN","BLAN_032","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN032.20201109.LVS","NEON.LTR.BLAN032.20201109.LVS.LIG","A00000162713",1,0.499,5.83,14.16,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"ef5e2b06-a6c9-41a0-bcb5-0c2363324793","2021-01-29","BLAN_055.basePlot.ltr","D02","BLAN","BLAN_055","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN055.20201109.LVS","NEON.LTR.BLAN055.20201109.LVS.LIG","A00000162686",1,0.473,7.43,15.17,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
