uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"aa5e4cb8-d309-48b4-b51a-0bdc37cb81b5","2018-06-04","SCBI_047.basePlot.ltr","D02","SCBI","SCBI_047","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI047.20171113.LVS","NEON.LTR.SCBI047.20171113.LVS.CN",,"vegetation","N",-3.8,-29.6,0.87,50.11,57.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"fed946c9-b2db-4cee-86f8-6cd4fb8cf623","2018-06-04","SCBI_045.basePlot.ltr","D02","SCBI","SCBI_045","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI045.20171113.LVS","NEON.LTR.SCBI045.20171113.LVS.CN",,"vegetation","N",-1.8,-29.1,1.04,50.43,48.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"75f6931b-aa1d-490d-97b7-41fcb88dba9d","2018-06-04","SCBI_058.basePlot.ltr","D02","SCBI","SCBI_058","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI058.20171113.LVS","NEON.LTR.SCBI058.20171113.LVS.CN",,"vegetation","N",-0.6,-29.4,0.87,50.40,58.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"36da492b-6fd5-4374-9137-b57d4ac36392","2018-06-04","SCBI_064.basePlot.ltr","D02","SCBI","SCBI_064","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI064.20171113.LVS","NEON.LTR.SCBI064.20171113.LVS.CN",,"vegetation","N",-2.8,-29.0,0.90,49.77,55.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"90e46ffb-1d72-418e-b9c6-c3fe8d29f5c6","2018-06-04","SCBI_054.basePlot.ltr","D02","SCBI","SCBI_054","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI054.20171113.LVS","NEON.LTR.SCBI054.20171113.LVS.CN",,"vegetation","N",-1.6,-28.6,1.27,49.91,39.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"8b0fbeb5-710d-4522-b433-86da2f8dc130","2018-06-04","SCBI_056.basePlot.ltr","D02","SCBI","SCBI_056","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI056.20171113.LVS","NEON.LTR.SCBI056.20171113.LVS.CN",,"vegetation","N",-1.6,-29.6,0.95,50.91,53.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"fad4761f-35a3-4925-abd0-2a949366e871","2018-06-04","SCBI_063.basePlot.ltr","D02","SCBI","SCBI_063","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI063.20171113.LVS","NEON.LTR.SCBI063.20171113.LVS.CN",,"vegetation","N",-3.4,-29.4,0.78,49.63,63.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"6011f6a0-d2e2-4f5e-9c3a-2887c7ee2bdc","2018-06-04","SCBI_046.basePlot.ltr","D02","SCBI","SCBI_046","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI046.20171113.LVS","NEON.LTR.SCBI046.20171113.LVS.CN",,"vegetation","N",-2.5,-29.1,0.63,51.37,81.1,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1f5e89e0-dc75-4a50-b0c4-fbe50ffce7e4","2018-06-04","SCBI_062.basePlot.ltr","D02","SCBI","SCBI_062","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI062.20171113.LVS","NEON.LTR.SCBI062.20171113.LVS.CN",,"vegetation","N",-2.7,-29.8,0.87,50.39,57.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"a0d7159e-4a30-4a61-b807-198b10b5ccb2","2018-06-04","SCBI_066.basePlot.ltr","D02","SCBI","SCBI_066","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI066.20171113.LVS","NEON.LTR.SCBI066.20171113.LVS.CN",,"vegetation","N",-1.8,-29.2,0.72,48.26,66.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
