uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"7c229e23-1286-4e02-aed1-20b8643d5dc5","2021-03-24","TREE_042.basePlot.ltr","D05","TREE","TREE_042","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE042.20200928.LVS","NEON.LTR.TREE042.20200928.LVS.CN","B00000081030","vegetation","N",-3.5,-28.6,0.62,49.52,80.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"7fa26895-36b7-4b11-9c68-935361c6b15a","2021-03-24","TREE_049.basePlot.ltr","D05","TREE","TREE_049","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE049.20200928.LVS","NEON.LTR.TREE049.20200928.LVS.CN","B00000081053","vegetation","N",-5.3,-28.9,0.46,49.84,108.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"fa69654c-3d20-4b62-a9af-2cc4a1d33b6d","2021-03-24","TREE_040.basePlot.ltr","D05","TREE","TREE_040","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE040.20200928.LVS","NEON.LTR.TREE040.20200928.LVS.CN","B00000081024","vegetation","N",-1.5,-29.4,1.25,51.28,41.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"aedb5855-365a-45fe-8953-7866534bb170","2021-03-24","TREE_041.basePlot.ltr","D05","TREE","TREE_041","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE041.20200928.LVS","NEON.LTR.TREE041.20200928.LVS.CN","B00000081020","vegetation","N",-4.9,-28.6,0.45,49.85,111.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"9312f155-f19b-451b-9526-e6a11f59d18f","2021-03-24","TREE_048.basePlot.ltr","D05","TREE","TREE_048","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE048.20200928.LVS","NEON.LTR.TREE048.20200928.LVS.CN","B00000081051","vegetation","N",-2.4,-29.9,1.46,53.74,36.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"eba6adfd-8896-423f-a23c-ed80b7659653","2021-03-24","TREE_043.basePlot.ltr","D05","TREE","TREE_043","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE043.20200928.NDL","NEON.LTR.TREE043.20200928.NDL.CN","B00000081071","vegetation","N",-4.7,-27.4,0.91,50.66,55.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"db81c44f-e894-417f-b93b-88c8dcd956d2","2021-03-24","TREE_052.basePlot.ltr","D05","TREE","TREE_052","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE052.20200928.LVS","NEON.LTR.TREE052.20200928.LVS.CN","B00000081060","vegetation","N",-1.1,-28.1,1.20,51.23,42.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"cf64dadd-80ab-4d08-8b0f-2e56cba179b5","2021-03-24","TREE_048.basePlot.ltr","D05","TREE","TREE_048","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE048.20200928.NDL","NEON.LTR.TREE048.20200928.NDL.CN","B00000081019","vegetation","N",-5.2,-28.8,0.59,53.62,90.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"f7c4b094-6ce4-4904-9c1a-00f866f26ee4","2021-03-24","TREE_025.basePlot.ltr","D05","TREE","TREE_025","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE025.20200928.LVS","NEON.LTR.TREE025.20200928.LVS.CN","B00000081010","vegetation","N",-6.4,-28.7,0.62,50.59,81.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"a2b865ca-3574-4e1f-b546-45b2a53a1ea4","2021-03-24","TREE_040.basePlot.ltr","D05","TREE","TREE_040","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE040.20200928.NDL","NEON.LTR.TREE040.20200928.NDL.CN","B00000081027","vegetation","N",-1.3,-29.5,0.68,53.19,78.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"7a17ad42-1ed4-4371-be2c-12e2650cfd9f","2021-03-24","TREE_047.basePlot.ltr","D05","TREE","TREE_047","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE047.20200928.LVS","NEON.LTR.TREE047.20200928.LVS.CN","B00000081043","vegetation","N",-5.3,-29.1,0.57,49.66,87.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"c5d490ac-fd3a-4c73-ab18-109ad8213eb9","2021-03-24","TREE_052.basePlot.ltr","D05","TREE","TREE_052","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE052.20200928.NDL","NEON.LTR.TREE052.20200928.NDL.CN","B00000081075","vegetation","N",-3.9,-29.0,0.58,50.92,88.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"9ad33305-5d6c-41fc-9b3d-b7068c748857","2021-03-24","TREE_046.basePlot.ltr","D05","TREE","TREE_046","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE046.20200928.LVS","NEON.LTR.TREE046.20200928.LVS.CN","B00000081048","vegetation","N",-5.2,-28.8,0.49,49.95,101.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
