uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"1321ea04-fb9d-419c-b130-bbd9f5ff9c9f","2021-03-26","TREE_042.basePlot.ltr","D05","TREE","TREE_042","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE042.20200928.LVS","NEON.LTR.TREE042.20200928.LVS.LIG","B00000081031",1,0.486,16.49,15.51,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"601ddea4-e8f3-4f87-ab3f-f736a5812921","2021-03-26","TREE_050.basePlot.ltr","D05","TREE","TREE_050","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE050.20200928.NDL","NEON.LTR.TREE050.20200928.NDL.LIG","B00000081072",1,0.491,29.97,19.96,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"5abe1756-6a21-4219-9e55-9821da4cd725","2021-03-26","TREE_047.basePlot.ltr","D05","TREE","TREE_047","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE047.20200928.LVS","NEON.LTR.TREE047.20200928.LVS.LIG","B00000081044",1,0.491,18.85,16.43,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"d3895201-4cbe-4ce4-850b-a2c14fb057c4","2021-03-26","TREE_043.basePlot.ltr","D05","TREE","TREE_043","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE043.20200928.NDL","NEON.LTR.TREE043.20200928.NDL.LIG","B00000081070",1,0.474,21.47,20.52,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"d77ea45b-7912-445b-8a84-e4cd19d6bc04","2021-03-26","TREE_041.basePlot.ltr","D05","TREE","TREE_041","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE041.20200928.LVS","NEON.LTR.TREE041.20200928.LVS.LIG","B00000081021",1,0.466,15.19,15.23,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"0fbefb35-65d5-4a5c-a81d-7804a993a0c7","2021-03-26","TREE_048.basePlot.ltr","D05","TREE","TREE_048","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE048.20200928.NDL","NEON.LTR.TREE048.20200928.NDL.LIG","B00000081062",1,0.487,30.14,19.47,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"9798b63e-c5ae-4b1f-941f-038eb5c1645b","2021-03-26","TREE_049.basePlot.ltr","D05","TREE","TREE_049","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE049.20200928.LVS","NEON.LTR.TREE049.20200928.LVS.LIG","B00000081052",1,0.490,15.30,16.95,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"8bf94558-54ee-4c75-acf8-e3b77994598d","2021-03-26","TREE_045.basePlot.ltr","D05","TREE","TREE_045","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE045.20200928.NDL","NEON.LTR.TREE045.20200928.NDL.LIG","B00000081067",1,0.466,23.15,16.37,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"abd502e4-2d9a-4f9a-8486-f7051f53819b","2021-03-26","TREE_047.basePlot.ltr","D05","TREE","TREE_047","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE047.20200928.NDL","NEON.LTR.TREE047.20200928.NDL.LIG","B00000081064",1,0.469,15.62,16.03,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"2731eec7-6b7c-405e-9287-b71c2f693a5f","2021-03-26","TREE_045.basePlot.ltr","D05","TREE","TREE_045","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE045.20200928.LVS","NEON.LTR.TREE045.20200928.LVS.LIG","B00000081049",1,0.483,16.18,13.77,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"65daff9c-ba06-49fb-9ae7-c1005e3ce5f0","2021-03-26","TREE_025.basePlot.ltr","D05","TREE","TREE_025","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE025.20200928.NDL","NEON.LTR.TREE025.20200928.NDL.LIG","B00000081013",1,0.482,24.48,17.43,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"dea2ea39-c49d-4393-8838-40354fe655ec","2021-03-26","TREE_044.basePlot.ltr","D05","TREE","TREE_044","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE044.20200928.LVS","NEON.LTR.TREE044.20200928.LVS.LIG","B00000081036",1,0.493,34.94,19.75,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"b8aaf3f5-484e-4627-b0d8-c2363a3e651b","2021-03-26","TREE_046.basePlot.ltr","D05","TREE","TREE_046","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE046.20200928.LVS","NEON.LTR.TREE046.20200928.LVS.LIG","B00000081047",1,0.473,15.81,16.98,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"54dff991-d3bb-4e36-91c3-5b150492a2f0","2021-03-26","TREE_052.basePlot.ltr","D05","TREE","TREE_052","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE052.20200928.LVS","NEON.LTR.TREE052.20200928.LVS.LIG","B00000081061",1,0.492,21.28,20.32,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"6b5dd76f-5f85-4440-8a53-4d62f9e063d8","2021-03-26","TREE_043.basePlot.ltr","D05","TREE","TREE_043","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE043.20200928.LVS","NEON.LTR.TREE043.20200928.LVS.LIG","B00000081035",1,0.481,19.72,18.21,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"b952c9a3-2ed0-40c9-b1e5-b0e422bb187e","2021-03-26","TREE_051.basePlot.ltr","D05","TREE","TREE_051","tower","2020-09-14T17:00Z","2020-09-28T17:00Z","NEON.LTR.TREE051.20200928.LVS","NEON.LTR.TREE051.20200928.LVS.LIG","B00000081057",1,0.477,19.38,24.79,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
