uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"5b7bc29a-ff95-461a-849c-f5c84596dc2f","2017-08-29","UNDE_038.basePlot.ltr","D05","UNDE","UNDE_038","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE038.20161010.NDL","NEON.LTR.UNDE038.20161010.NDL.CN",,"vegetation","N",-3.8,-28.8,0.85,51.07,60.0,"OK","OK",,,2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"2c43cd23-723a-4a50-9f8d-5d09719d971c","2017-08-29","UNDE_078.basePlot.ltr","D05","UNDE","UNDE_078","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE078.20161010.NDL","NEON.LTR.UNDE078.20161010.NDL.CN",,"vegetation","N",-2.8,-30.4,0.83,51.22,61.7,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"03ab5903-c00a-4b8b-b33e-4e017e1c6e79","2017-08-29","UNDE_059.basePlot.ltr","D05","UNDE","UNDE_059","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE059.20161010.NDL","NEON.LTR.UNDE059.20161010.NDL.CN",,"vegetation","N",-1.7,-28.1,0.90,49.52,55.3,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"806ded40-7d06-472c-8ea3-40927a861086","2017-08-29","UNDE_060.basePlot.ltr","D05","UNDE","UNDE_060","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE060.20161010.LVS","NEON.LTR.UNDE060.20161010.LVS.CN",,"vegetation","N",-0.8,-28.9,1.70,50.34,29.7,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"3c7f3383-06c4-48f3-96de-3c23cf2c3cd9","2017-08-29","UNDE_057.basePlot.ltr","D05","UNDE","UNDE_057","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE057.20161010.LVS","NEON.LTR.UNDE057.20161010.LVS.CN",,"vegetation","N",-3.1,-28.7,0.63,49.26,78.4,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d681d2db-5c43-4bae-9e2a-e1313e3a795c","2017-08-29","UNDE_037.basePlot.ltr","D05","UNDE","UNDE_037","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE037.20161010.NDL","NEON.LTR.UNDE037.20161010.NDL.CN",,"vegetation","N",-4.2,-29.4,0.81,51.74,64.1,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"9f02b1ff-1a71-47c6-927d-bc1a7d835ab3","2017-08-29","UNDE_065.basePlot.ltr","D05","UNDE","UNDE_065","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE065.20161010.LVS","NEON.LTR.UNDE065.20161010.LVS.CN",,"vegetation","N",-3.2,-28.4,0.79,48.15,61.4,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"db6d5f43-b0a8-4554-8523-efabbecc7cd5","2017-08-29","UNDE_060.basePlot.ltr","D05","UNDE","UNDE_060","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE060.20161010.NDL","NEON.LTR.UNDE060.20161010.NDL.CN",,"vegetation","N",-3.7,-27.3,0.58,51.60,89.1,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1c2a43bf-ef1a-481a-95da-3729a695484c","2017-08-29","UNDE_058.basePlot.ltr","D05","UNDE","UNDE_058","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE058.20161010.LVS","NEON.LTR.UNDE058.20161010.LVS.CN",,"vegetation","N",-3.7,-28.4,0.67,46.93,70.5,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"474dbf71-c7c8-4505-9212-b0b071c547c2","2017-08-29","UNDE_049.basePlot.ltr","D05","UNDE","UNDE_049","tower","2016-09-26T17:00Z","2016-10-10T17:00Z","NEON.LTR.UNDE049.20161010.NDL","NEON.LTR.UNDE049.20161010.NDL.CN",,"vegetation","N",-2.0,-30.0,1.15,52.53,45.7,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"bEP9Ut5BMUSEVHTehx6p8Q==","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
