uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"26d3e6e0-9754-4e21-938f-5fc7f67e7f7a","2020-02-20","UNDE_078.basePlot.ltr","D05","UNDE","UNDE_078","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE078.20191007.LVS","NEON.LTR.UNDE078.20191007.LVS.LIG","B00000061783",1,0.468,19.26,20.56,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"51df0cec-0c51-4d8b-bea7-78e3037ab8a0","2020-02-20","UNDE_048.basePlot.ltr","D05","UNDE","UNDE_048","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE048.20191007.LVS","NEON.LTR.UNDE048.20191007.LVS.LIG","B00000061887",1,0.473,21.13,20.43,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"cf907db7-d7fd-4dc5-9dcc-9eef635a78b7","2020-02-20","UNDE_059.basePlot.ltr","D05","UNDE","UNDE_059","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE059.20191007.NDL","NEON.LTR.UNDE059.20191007.NDL.LIG","B00000061733",1,0.478,27.97,19.35,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"4c880238-fa0b-4b54-bbb6-34242cb9df2f","2020-02-20","UNDE_055.basePlot.ltr","D05","UNDE","UNDE_055","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE055.20191007.LVS","NEON.LTR.UNDE055.20191007.LVS.LIG","A00000079084",1,0.467,17.90,19.63,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"e8fc15e2-f101-46c7-b311-2866a46acb14","2020-02-20","UNDE_037.basePlot.ltr","D05","UNDE","UNDE_037","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE037.20191007.LVS","NEON.LTR.UNDE037.20191007.LVS.LIG","B00000061779",1,0.478,13.00,18.88,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"dc54d6a6-76aa-45e9-8c7b-6f095cd69b28","2020-02-20","UNDE_061.basePlot.ltr","D05","UNDE","UNDE_061","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE061.20191007.LVS","NEON.LTR.UNDE061.20191007.LVS.LIG","B00000061890",1,0.468,18.16,20.45,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"5b9e3faa-5c1f-48d0-9ef2-61b5736c457e","2020-02-20","UNDE_058.basePlot.ltr","D05","UNDE","UNDE_058","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE058.20191007.LVS","NEON.LTR.UNDE058.20191007.LVS.LIG","B00000061734",1,0.464,18.57,21.19,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"b49e1d27-c27a-4bca-b1f5-f53c775cc35b","2020-02-20","UNDE_052.basePlot.ltr","D05","UNDE","UNDE_052","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE052.20191007.LVS","NEON.LTR.UNDE052.20191007.LVS.LIG","A00000078154",1,0.462,24.08,20.80,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"882a1292-19a8-44aa-b550-0a5a5d09eeab","2020-02-20","UNDE_044.basePlot.ltr","D05","UNDE","UNDE_044","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE044.20191007.LVS","NEON.LTR.UNDE044.20191007.LVS.LIG","B00000061759",1,0.464,19.92,20.48,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"a9060763-ccf3-42e1-9341-0813d1461fdd","2020-02-20","UNDE_059.basePlot.ltr","D05","UNDE","UNDE_059","tower","2019-09-23T17:00Z","2019-10-07T17:00Z","NEON.LTR.UNDE059.20191007.LVS","NEON.LTR.UNDE059.20191007.LVS.LIG","B00000061726",1,0.493,18.14,25.96,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
