uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"5313a1ef-d915-47ca-82bb-e2a6e59ea20a","2019-02-21","MLBS_063.basePlot.ltr","D07","MLBS","MLBS_063","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS063.20181009.LVS","NEON.LTR.MLBS063.20181009.LVS.CN","A00000044716","vegetation","N",-3.1,-28.2,1.35,50.55,37.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"0766eddd-7fc3-4d0b-a06e-1d8ce0724479","2019-02-21","MLBS_065.basePlot.ltr","D07","MLBS","MLBS_065","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS065.20181009.LVS","NEON.LTR.MLBS065.20181009.LVS.CN","A00000044722","vegetation","N",-1.5,-28.1,1.37,50.97,37.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"e52683e1-70b7-4193-b10a-3f45946ffb17","2019-02-21","MLBS_068.basePlot.ltr","D07","MLBS","MLBS_068","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS068.20181009.LVS","NEON.LTR.MLBS068.20181009.LVS.CN","A00000044731","vegetation","N",-2.6,-28.9,1.41,51.89,36.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"229800cb-24cc-4476-a1f8-1f1ccad69a8d","2019-02-21","MLBS_069.basePlot.ltr","D07","MLBS","MLBS_069","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS069.20181009.LVS","NEON.LTR.MLBS069.20181009.LVS.CN","A00000044734","vegetation","N",-1.7,-28.8,1.55,51.82,33.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"65af81ad-e038-45f1-9ec7-9c90fc95ced7","2019-02-21","MLBS_064.basePlot.ltr","D07","MLBS","MLBS_064","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS064.20181009.LVS","NEON.LTR.MLBS064.20181009.LVS.CN","A00000044719","vegetation","N",-2.2,-28.7,1.30,50.32,38.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"15724678-32ba-4d07-ad59-9bf08edb88d3","2019-02-21","MLBS_061.basePlot.ltr","D07","MLBS","MLBS_061","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS061.20181009.LVS","NEON.LTR.MLBS061.20181009.LVS.CN","A00000044709","vegetation","N",-2.8,-28.8,1.26,50.84,40.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"56a0de8f-99f2-4efe-adce-f906a0a8f944","2019-02-21","MLBS_073.basePlot.ltr","D07","MLBS","MLBS_073","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS073.20181009.LVS","NEON.LTR.MLBS073.20181009.LVS.CN","A00000044747","vegetation","N",-2.3,-28.2,1.07,51.06,47.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"12024a75-bb1b-4ddc-8e79-d02970dfd321","2019-02-21","MLBS_074.basePlot.ltr","D07","MLBS","MLBS_074","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS074.20181009.LVS","NEON.LTR.MLBS074.20181009.LVS.CN","A00000044750","vegetation","N",-1.7,-28.4,1.10,50.39,45.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"2cf6441f-0ad5-4486-92be-b68d3c06c96b","2019-02-21","MLBS_076.basePlot.ltr","D07","MLBS","MLBS_076","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS076.20181009.LVS","NEON.LTR.MLBS076.20181009.LVS.CN","A00000044756","vegetation","N",-2.0,-28.5,1.55,52.12,33.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"2cb60548-1b7c-40ca-9704-317bb132be02","2019-02-21","MLBS_072.basePlot.ltr","D07","MLBS","MLBS_072","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS072.20181009.LVS","NEON.LTR.MLBS072.20181009.LVS.CN","A00000044744","vegetation","N",-0.1,-28.7,1.42,51.89,36.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
