uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"325583e4-7cf9-43d6-a5f0-4d0b7412aefd","2019-01-24","MLBS_062.basePlot.ltr","D07","MLBS","MLBS_062","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS062.20181009.LVS","NEON.LTR.MLBS062.20181009.LVS.LIG","A00000044713",1,0.485,24.57,21.80,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"ed364278-ae69-4de8-9700-455ea6916645","2019-01-24","MLBS_073.basePlot.ltr","D07","MLBS","MLBS_073","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS073.20181009.LVS","NEON.LTR.MLBS073.20181009.LVS.LIG","A00000044748",1,0.517,26.74,20.35,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"5916a0f0-46e1-48b9-bdd9-ad75a66eb918","2019-01-24","MLBS_074.basePlot.ltr","D07","MLBS","MLBS_074","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS074.20181009.LVS","NEON.LTR.MLBS074.20181009.LVS.LIG","A00000044751",1,0.517,25.90,19.01,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"d679f1a3-f70a-454e-b980-70f320de6eec","2019-01-24","MLBS_067.basePlot.ltr","D07","MLBS","MLBS_067","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS067.20181009.LVS","NEON.LTR.MLBS067.20181009.LVS.LIG","A00000044730",1,0.530,32.28,18.75,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"9352ade2-36fb-489e-992d-07ccd7798487","2019-01-24","MLBS_069.basePlot.ltr","D07","MLBS","MLBS_069","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS069.20181009.LVS","NEON.LTR.MLBS069.20181009.LVS.LIG","A00000044735",1,0.477,26.29,18.78,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"c8e6f9b4-9c2d-46fb-9246-75a5678d1a26","2019-01-24","MLBS_061.basePlot.ltr","D07","MLBS","MLBS_061","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS061.20181009.LVS","NEON.LTR.MLBS061.20181009.LVS.LIG","A00000044710",1,0.529,28.56,19.02,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"babe6c01-4933-4f0e-b4af-bd1b023c8091","2019-01-24","MLBS_068.basePlot.ltr","D07","MLBS","MLBS_068","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS068.20181009.LVS","NEON.LTR.MLBS068.20181009.LVS.LIG","A00000044732",1,0.551,34.26,18.45,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"b68dc334-9bc5-44d3-9a1c-0f322e7eab4d","2019-01-24","MLBS_065.basePlot.ltr","D07","MLBS","MLBS_065","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS065.20181009.LVS","NEON.LTR.MLBS065.20181009.LVS.LIG","A00000044723",1,0.517,29.86,19.84,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"b954e254-778e-4027-945e-ddf47135ced7","2019-01-24","MLBS_070.basePlot.ltr","D07","MLBS","MLBS_070","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS070.20181009.LVS","NEON.LTR.MLBS070.20181009.LVS.LIG","A00000044738",1,0.530,27.34,19.50,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"f7c9981b-4f37-41c5-9776-7feaebe96287","2019-01-24","MLBS_071.basePlot.ltr","D07","MLBS","MLBS_071","tower","2018-09-26T16:00Z","2018-10-09T16:00Z","NEON.LTR.MLBS071.20181009.LVS","NEON.LTR.MLBS071.20181009.LVS.LIG","A00000044741",1,0.517,31.87,20.01,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
