uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"fbce4dfa-440e-4bf2-8fc3-9ea7a1d14dc0","2018-06-06","ORNL_056.basePlot.ltr","D07","ORNL","ORNL_056","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL056.20171106.LVS","NEON.LTR.ORNL056.20171106.LVS.CN",,"vegetation","N",-3.0,-30.6,1.00,50.51,50.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1558e585-ad82-487f-a03b-4ce6ab5ae949","2018-06-06","ORNL_049.basePlot.ltr","D07","ORNL","ORNL_049","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL049.20171106.LVS","NEON.LTR.ORNL049.20171106.LVS.CN",,"vegetation","N",-3.6,-30.0,0.75,48.21,64.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"e5e54f11-91d4-44ef-8dd8-40d174158ef2","2018-06-06","ORNL_054.basePlot.ltr","D07","ORNL","ORNL_054","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL054.20171106.LVS","NEON.LTR.ORNL054.20171106.LVS.CN",,"vegetation","N",-3.8,-30.1,0.74,50.72,68.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"00b72051-2afd-4c24-b8ce-06eca98de1c0","2018-06-06","ORNL_046.basePlot.ltr","D07","ORNL","ORNL_046","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL046.20171106.LVS","NEON.LTR.ORNL046.20171106.LVS.CN",,"vegetation","N",-3.7,-30.0,0.76,48.34,63.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"278c7fce-59b7-4a38-8ea2-d44a07af7a1e","2018-06-06","ORNL_045.basePlot.ltr","D07","ORNL","ORNL_045","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL045.20171106.NDL","NEON.LTR.ORNL045.20171106.NDL.CN",,"vegetation","N",-3.7,-30.5,0.63,52.72,83.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"01f62579-0c57-4b16-83b9-dcaac24c293f","2018-06-06","ORNL_059.basePlot.ltr","D07","ORNL","ORNL_059","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL059.20171106.LVS","NEON.LTR.ORNL059.20171106.LVS.CN",,"vegetation","N",-3.4,-30.0,0.83,49.82,60.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"7c8fd352-7852-47bf-87fa-834fd1fe2a5b","2018-06-06","ORNL_063.basePlot.ltr","D07","ORNL","ORNL_063","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL063.20171106.LVS","NEON.LTR.ORNL063.20171106.LVS.CN",,"vegetation","N",-2.3,-30.0,0.92,49.44,53.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c902758d-552b-44a3-96c3-8b69767fda9b","2018-06-06","ORNL_043.basePlot.ltr","D07","ORNL","ORNL_043","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL043.20171106.LVS","NEON.LTR.ORNL043.20171106.LVS.CN",,"vegetation","N",-3.7,-30.7,0.81,50.40,62.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b998d906-9ff9-4613-af57-09f45d6bc6aa","2018-06-06","ORNL_045.basePlot.ltr","D07","ORNL","ORNL_045","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL045.20171106.LVS","NEON.LTR.ORNL045.20171106.LVS.CN",,"vegetation","N",-4.1,-30.5,0.73,49.33,67.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"f45f0a63-64e9-44d0-820d-e0b02dfa2f09","2018-06-06","ORNL_063.basePlot.ltr","D07","ORNL","ORNL_063","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL063.20171106.NDL","NEON.LTR.ORNL063.20171106.NDL.CN",,"vegetation","N",-2.0,-28.7,0.65,53.21,81.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
