uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"8f347999-51c4-4f4b-8eb0-5e8daad87251","2018-01-29","ORNL_061.basePlot.ltr","D07","ORNL","ORNL_061","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL061.20171106.LVS","NEON.LTR.ORNL061.20171106.LVS.LIG",,1,0.595,18.81,20.44,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"74283647-8556-4b20-8fe2-b0dba406a77c","2018-01-29","ORNL_053.basePlot.ltr","D07","ORNL","ORNL_053","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL053.20171106.LVS","NEON.LTR.ORNL053.20171106.LVS.LIG",,1,0.548,23.52,24.92,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"a7641e10-a6b2-4e89-ab01-464dc52db0c3","2018-01-26","ORNL_037.basePlot.ltr","D07","ORNL","ORNL_037","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL037.20171106.LVS","NEON.LTR.ORNL037.20171106.LVS.LIG",,1,0.540,32.22,24.21,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"21382eb2-86de-47aa-9bb1-d8ee7f3141d7","2018-01-26","ORNL_046.basePlot.ltr","D07","ORNL","ORNL_046","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL046.20171106.LVS","NEON.LTR.ORNL046.20171106.LVS.LIG",,1,0.544,20.15,19.99,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"ca0e886e-0c17-46d9-a809-4968e87a0678","2018-01-26","ORNL_043.basePlot.ltr","D07","ORNL","ORNL_043","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL043.20171106.NDL","NEON.LTR.ORNL043.20171106.NDL.LIG",,1,0.584,34.74,25.14,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"d6e88594-9acc-4677-8bec-ce5799c905c6","2018-01-26","ORNL_043.basePlot.ltr","D07","ORNL","ORNL_043","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL043.20171106.LVS","NEON.LTR.ORNL043.20171106.LVS.LIG",,1,0.547,26.00,21.24,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"69764a79-b5d5-402e-a2dd-7898eb79c335","2018-01-26","ORNL_036.basePlot.ltr","D07","ORNL","ORNL_036","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL036.20171106.LVS","NEON.LTR.ORNL036.20171106.LVS.LIG",,1,0.594,29.24,25.60,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"2fc63c19-2c36-4c88-90d9-32aa8180bff1","2018-01-26","ORNL_050.basePlot.ltr","D07","ORNL","ORNL_050","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL050.20171106.LVS","NEON.LTR.ORNL050.20171106.LVS.LIG",,1,0.557,27.32,25.55,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"597fbf18-4c2e-456f-aaf6-12461dee0d9f","2018-01-29","ORNL_056.basePlot.ltr","D07","ORNL","ORNL_056","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL056.20171106.LVS","NEON.LTR.ORNL056.20171106.LVS.LIG",,1,0.504,28.95,26.71,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"a9e8c5f9-7edf-4e68-b9d1-464f427e2f66","2018-01-26","ORNL_049.basePlot.ltr","D07","ORNL","ORNL_049","tower","2017-10-25T16:00Z","2017-11-06T17:00Z","NEON.LTR.ORNL049.20171106.LVS","NEON.LTR.ORNL049.20171106.LVS.LIG",,1,0.561,25.96,23.81,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
