uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"b61d91bd-f6e2-450b-bb17-7f3f2a621867","2020-06-15","DELA_043.basePlot.ltr","D08","DELA","DELA_043","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA043.20191118.LVS","NEON.LTR.DELA043.20191118.LVS.CN","A00000145705","vegetation","N",1.0,-29.3,1.22,46.69,38.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"55b1b6d0-9629-4cbf-9efd-d6152d547667","2020-06-15","DELA_044.basePlot.ltr","D08","DELA","DELA_044","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA044.20191118.LVS","NEON.LTR.DELA044.20191118.LVS.CN","A00000145754","vegetation","N",0.4,-30.2,1.07,44.80,41.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d8105c0e-2733-4040-99a4-9099dab9c9e7","2020-06-15","DELA_052.basePlot.ltr","D08","DELA","DELA_052","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA052.20191118.LVS","NEON.LTR.DELA052.20191118.LVS.CN","A00000145742","vegetation","N",0.6,-30.1,1.06,45.14,42.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"62712bb1-db0a-441d-ae3b-8358e7311ca6","2020-06-15","DELA_045.basePlot.ltr","D08","DELA","DELA_045","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA045.20191118.LVS","NEON.LTR.DELA045.20191118.LVS.CN","A00000145731","vegetation","N",0.6,-29.9,1.23,45.47,37.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c2bbe2c7-b854-4ad7-87a1-1c3783331a55","2020-06-15","DELA_047.basePlot.ltr","D08","DELA","DELA_047","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA047.20191118.LVS","NEON.LTR.DELA047.20191118.LVS.CN","A00000145708","vegetation","N",2.2,-30.0,1.20,47.90,39.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"01e50b0f-4376-44ee-bdaa-0922770f37f2","2020-06-15","DELA_042.basePlot.ltr","D08","DELA","DELA_042","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA042.20191118.LVS","NEON.LTR.DELA042.20191118.LVS.CN","A00000145759","vegetation","N",-0.5,-30.6,1.20,46.44,38.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"80c779ae-6648-4996-b45a-e2838180d85d","2020-06-15","DELA_040.basePlot.ltr","D08","DELA","DELA_040","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA040.20191118.LVS","NEON.LTR.DELA040.20191118.LVS.CN","A00000145790","vegetation","N",2.2,-29.2,1.32,48.35,36.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"a0ffe702-8a70-4529-b1c4-c8acb1692fc0","2020-06-15","DELA_051.basePlot.ltr","D08","DELA","DELA_051","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA051.20191118.LVS","NEON.LTR.DELA051.20191118.LVS.CN","A00000145794","vegetation","N",1.2,-28.9,1.15,44.29,38.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d11a8090-92d2-4eb9-b08f-f2f897df3f2d","2020-06-15","DELA_055.basePlot.ltr","D08","DELA","DELA_055","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA055.20191118.LVS","NEON.LTR.DELA055.20191118.LVS.CN","A00000145795","vegetation","N",0.6,-29.4,1.02,46.95,45.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b154a510-3838-4782-8de8-a9b675b30d5c","2020-06-15","DELA_059.basePlot.ltr","D08","DELA","DELA_059","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA059.20191118.LVS","NEON.LTR.DELA059.20191118.LVS.CN","A00000145737","vegetation","N",-0.6,-29.8,1.08,46.69,43.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"89ebc3b8-dc70-4f26-83aa-ba6e3a0da4f5","2020-06-15","DELA_054.basePlot.ltr","D08","DELA","DELA_054","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA054.20191118.LVS","NEON.LTR.DELA054.20191118.LVS.CN","A00000145793","vegetation","N",1.3,-29.5,1.07,47.98,44.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"df6f0bf5-ba15-4b34-aa72-7a3684bceba2","2020-06-15","DELA_048.basePlot.ltr","D08","DELA","DELA_048","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA048.20191118.LVS","NEON.LTR.DELA048.20191118.LVS.CN","A00000145775","vegetation","N",3.1,-28.1,1.29,48.30,37.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
