uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"14d93aeb-1717-4b93-97fa-a9267b45cbd3","2020-02-28","DELA_043.basePlot.ltr","D08","DELA","DELA_043","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA043.20191118.LVS","NEON.LTR.DELA043.20191118.LVS.LIG","A00000145706",1,0.477,18.19,19.28,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"6aa21721-5ded-4ec1-9f33-d1cf059fbbb1","2020-02-28","DELA_038.basePlot.ltr","D08","DELA","DELA_038","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA038.20191118.LVS","NEON.LTR.DELA038.20191118.LVS.LIG","A00000145776",1,0.472,17.39,18.89,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"95d80795-1dc4-475f-9655-d7c006ed449a","2020-02-28","DELA_041.basePlot.ltr","D08","DELA","DELA_041","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA041.20191118.LVS","NEON.LTR.DELA041.20191118.LVS.LIG","A00000145773",1,0.491,17.68,17.01,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"7fdc4bd4-afbc-43ee-9dd1-aa354166b1bd","2020-02-28","DELA_051.basePlot.ltr","D08","DELA","DELA_051","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA051.20191118.LVS","NEON.LTR.DELA051.20191118.LVS.LIG","A00000145779",1,0.482,15.38,18.04,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"9434a0e2-17e7-49bb-84c6-f231b7563cc9","2020-02-28","DELA_059.basePlot.ltr","D08","DELA","DELA_059","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA059.20191118.LVS","NEON.LTR.DELA059.20191118.LVS.LIG","A00000145738",1,0.485,20.14,21.49,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"c757be9d-5a06-4ddf-9dd1-f3f6ed17bc28","2020-02-28","DELA_048.basePlot.ltr","D08","DELA","DELA_048","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA048.20191118.LVS","NEON.LTR.DELA048.20191118.LVS.LIG","A00000145760",1,0.500,15.30,16.70,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"072701a0-36f2-4f10-834e-88f35ba85df2","2020-02-28","DELA_046.basePlot.ltr","D08","DELA","DELA_046","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA046.20191118.LVS","NEON.LTR.DELA046.20191118.LVS.LIG","A00000145777",1,0.495,25.25,23.20,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"82e20fbf-20a3-415b-a543-831184e9f151","2020-02-28","DELA_047.basePlot.ltr","D08","DELA","DELA_047","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA047.20191118.LVS","NEON.LTR.DELA047.20191118.LVS.LIG","A00000145709",1,0.480,23.76,19.62,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"c9fc9bfc-c688-4d00-92c7-d2cbb90910dc","2020-02-28","DELA_040.basePlot.ltr","D08","DELA","DELA_040","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA040.20191118.LVS","NEON.LTR.DELA040.20191118.LVS.LIG","A00000145789",1,0.487,22.45,22.86,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"fa1fbc04-f84f-4c93-a611-06ceccd26501","2020-02-28","DELA_044.basePlot.ltr","D08","DELA","DELA_044","tower","2019-11-04T18:00Z","2019-11-18T18:00Z","NEON.LTR.DELA044.20191118.LVS","NEON.LTR.DELA044.20191118.LVS.LIG","A00000145756",1,0.458,20.71,19.50,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
