uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"2734a0f7-fa50-46ca-a771-33bbab0e6b78","2019-04-26","LENO_068.basePlot.ltr","D08","LENO","LENO_068","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO068.20181112.NDL","NEON.LTR.LENO068.20181112.NDL.CN","B00000004367","vegetation","Y",-0.2,,0.41,,,"OK","OK","OK","OK",1,"CO2 trapped","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1133c240-b6c8-44f8-ac85-0d0f09748234","2019-04-24","LENO_068.basePlot.ltr","D08","LENO","LENO_068","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO068.20181112.LVS","NEON.LTR.LENO068.20181112.LVS.CN","B00000004363","vegetation","N",1.2,-30.9,1.17,48.86,41.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d6b05355-5655-490d-8503-6466f8eef2bd","2019-04-24","LENO_070.basePlot.ltr","D08","LENO","LENO_070","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO070.20181112.LVS","NEON.LTR.LENO070.20181112.LVS.CN","B00000004371","vegetation","N",0.4,-30.4,1.00,48.15,48.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"96aa2b3a-a4bd-4f28-a24d-3dad1f2b6b6c","2019-04-24","LENO_062.basePlot.ltr","D08","LENO","LENO_062","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO062.20181112.LVS","NEON.LTR.LENO062.20181112.LVS.CN","B00000004339","vegetation","N",1.1,-30.6,1.22,48.78,40.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"80b4f5b9-917e-436c-9462-4e0444eb5080","2019-04-24","LENO_063.basePlot.ltr","D08","LENO","LENO_063","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO063.20181112.LVS","NEON.LTR.LENO063.20181112.LVS.CN","B00000004342","vegetation","N",-0.6,-30.1,1.10,47.65,43.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"669b06c4-2817-4162-9af8-957d4dfe78cb","2019-04-24","LENO_064.basePlot.ltr","D08","LENO","LENO_064","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO064.20181112.NDL","NEON.LTR.LENO064.20181112.NDL.CN","B00000004350","vegetation","N",,-30.5,,51.96,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4991e846-c20a-4e4a-a062-39e4e7236e27","2019-04-24","LENO_070.basePlot.ltr","D08","LENO","LENO_070","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO070.20181112.NDL","NEON.LTR.LENO070.20181112.NDL.CN","B00000004374","vegetation","N",0.3,-30.2,0.86,51.19,59.9,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"90ecc7fb-ebab-4d04-ab72-c50c1905d51f","2019-04-24","LENO_065.basePlot.ltr","D08","LENO","LENO_065","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO065.20181112.LVS","NEON.LTR.LENO065.20181112.LVS.CN","B00000004351","vegetation","N",1.6,-31.1,1.25,49.62,39.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"64e8050b-2675-497f-81ac-5c9ddac8d2d9","2019-04-24","LENO_066.basePlot.ltr","D08","LENO","LENO_066","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO066.20181112.LVS","NEON.LTR.LENO066.20181112.LVS.CN","B00000004356","vegetation","N",0.4,-29.9,1.10,48.46,44.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"3c305802-937a-4adc-a0ae-66b454fe0467","2019-04-24","LENO_066.basePlot.ltr","D08","LENO","LENO_066","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO066.20181112.NDL","NEON.LTR.LENO066.20181112.NDL.CN","B00000004358","vegetation","N",,-30.7,,52.22,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
