uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"2e72ff27-1e55-4b5e-b1fe-e4d4086b50b2","2019-08-01","LENO_061.basePlot.ltr","D08","LENO","LENO_061","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO061.20181112.LVS","NEON.LTR.LENO061.20181112.LVS.LIG","B00000004335",1,0.470,32.44,18.84,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"299ff1f0-b765-4096-88e2-d1ebba80cd5c","2019-08-01","LENO_070.basePlot.ltr","D08","LENO","LENO_070","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO070.20181112.LVS","NEON.LTR.LENO070.20181112.LVS.LIG","B00000004372",1,0.473,31.97,22.57,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"54846211-5bf2-4913-b8fc-bf6e9da05451","2019-08-01","LENO_068.basePlot.ltr","D08","LENO","LENO_068","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO068.20181112.LVS","NEON.LTR.LENO068.20181112.LVS.LIG","B00000004365",1,0.474,28.24,21.49,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"0122038d-49ec-4c88-a9cb-5d96b9f71dae","2019-08-01","LENO_067.basePlot.ltr","D08","LENO","LENO_067","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO067.20181112.LVS","NEON.LTR.LENO067.20181112.LVS.LIG","B00000004361",1,0.455,27.38,21.39,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"4b521261-cab6-481f-8bd0-a6ac3cb20ca4","2019-08-01","LENO_066.basePlot.ltr","D08","LENO","LENO_066","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO066.20181112.LVS","NEON.LTR.LENO066.20181112.LVS.LIG","B00000004355",1,0.464,34.69,22.43,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"43c203d2-93f9-4db5-8a17-7d91bb25e7e2","2019-08-01","LENO_065.basePlot.ltr","D08","LENO","LENO_065","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO065.20181112.LVS","NEON.LTR.LENO065.20181112.LVS.LIG","B00000004353",1,0.495,29.34,20.74,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"1da7cf97-b394-4602-bb26-d03f1fa73076","2019-08-01","LENO_066.basePlot.ltr","D08","LENO","LENO_066","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO066.20181112.NDL","NEON.LTR.LENO066.20181112.NDL.LIG","B00000004357",1,0.478,26.78,24.15,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"99214dca-b9d3-4cc7-83a3-b75f4c0fc0ed","2019-08-01","LENO_063.basePlot.ltr","D08","LENO","LENO_063","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO063.20181112.LVS","NEON.LTR.LENO063.20181112.LVS.LIG","B00000004343",1,0.473,31.19,18.17,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"90d2d56e-b5da-4af7-be0e-f1ee637693e3","2019-08-01","LENO_069.basePlot.ltr","D08","LENO","LENO_069","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO069.20181112.LVS","NEON.LTR.LENO069.20181112.LVS.LIG","B00000004369",1,0.486,31.14,20.74,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"2bf05130-8a5b-47d7-ad19-0c606e03d6cb","2019-08-01","LENO_064.basePlot.ltr","D08","LENO","LENO_064","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO064.20181112.NDL","NEON.LTR.LENO064.20181112.NDL.LIG","B00000004349",1,0.495,27.48,24.36,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"494b535c-9fc2-4948-a444-0b2c42af12ac","2019-08-01","LENO_064.basePlot.ltr","D08","LENO","LENO_064","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO064.20181112.LVS","NEON.LTR.LENO064.20181112.LVS.LIG","B00000004346",1,0.470,33.18,19.97,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"7fbb0f47-ca56-45e5-8f22-a20a39d92498","2019-08-01","LENO_068.basePlot.ltr","D08","LENO","LENO_068","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO068.20181112.NDL","NEON.LTR.LENO068.20181112.NDL.LIG","B00000004366",1,0.271,24.21,19.53,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"601be172-449e-468c-81fd-36bf0a1b3add","2019-08-01","LENO_062.basePlot.ltr","D08","LENO","LENO_062","tower","2018-10-29T17:00Z","2018-11-12T18:00Z","NEON.LTR.LENO062.20181112.LVS","NEON.LTR.LENO062.20181112.LVS.LIG","B00000004338",1,0.497,34.39,20.64,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
