uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"7c3b4fd3-225d-411c-9391-b9918e3d1995","2018-06-05","TALL_056.basePlot.ltr","D08","TALL","TALL_056","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL056.20171113.NDL","NEON.LTR.TALL056.20171113.NDL.CN",,"vegetation","N",-5.6,-28.5,0.22,52.62,238.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"Nitrogen peak amplitude below tolerance. Rerun.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"e5405061-2fca-4706-97d9-948d40ef5e67","2018-06-05","TALL_053.basePlot.ltr","D08","TALL","TALL_053","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL053.20171113.LVS","NEON.LTR.TALL053.20171113.LVS.CN",,"vegetation","N",-3.6,-30.7,0.79,49.97,63.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"04bffd4b-81b6-4b6a-8f0a-1278282e451b","2018-06-05","TALL_042.basePlot.ltr","D08","TALL","TALL_042","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL042.20171113.NDL","NEON.LTR.TALL042.20171113.NDL.CN",,"vegetation","N",-4.7,-29.4,0.30,52.75,176.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ec988410-3102-4b44-a97b-92eb73b7b282","2018-06-19","TALL_055.basePlot.ltr","D08","TALL","TALL_055","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL055.20171113.NDL","NEON.LTR.TALL055.20171113.NDL.CN",,"vegetation","N",,-30.2,0.23,52.13,224.1,"sample d15N out of qaqc tolerance","OK","OK","OK",2,"High nitrogen background. Rerun.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"686f87d3-06ae-4b00-af84-6cac46b12646","2018-06-19","TALL_053.basePlot.ltr","D08","TALL","TALL_053","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL053.20171113.NDL","NEON.LTR.TALL053.20171113.NDL.CN",,"vegetation","N",,-29.5,0.20,49.85,253.6,"sample d15N out of qaqc tolerance","OK","OK","OK",2,"High nitrogen background. Rerun.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"dc753b6b-d833-4a21-a039-a5cb790fa872","2018-06-05","TALL_048.basePlot.ltr","D08","TALL","TALL_048","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL048.20171113.NDL","NEON.LTR.TALL048.20171113.NDL.CN",,"vegetation","N",-4.7,-28.8,0.21,52.22,248.1,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"Nitrogen peak amplitude below tolerance. Rerun.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"324c27b0-685f-4ac7-b7cf-7fe0ca138844","2018-06-19","TALL_057.basePlot.ltr","D08","TALL","TALL_057","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL057.20171113.NDL","NEON.LTR.TALL057.20171113.NDL.CN",,"vegetation","N",,-30.0,0.23,50.65,223.1,"sample d15N out of qaqc tolerance","OK","OK","OK",2,"High nitrogen background. Rerun.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"bb887818-8da1-465c-9105-0e5e6de8ed76","2018-06-19","TALL_045.basePlot.ltr","D08","TALL","TALL_045","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL045.20171113.NDL","NEON.LTR.TALL045.20171113.NDL.CN",,"vegetation","N",,-29.6,0.19,49.74,256.2,"sample d15N out of qaqc tolerance","OK","OK","OK",2,"High nitrogen background. Rerun.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4ec99130-81c2-4d35-b4f1-6626ece8d0b0","2018-06-05","TALL_043.basePlot.ltr","D08","TALL","TALL_043","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL043.20171113.NDL","NEON.LTR.TALL043.20171113.NDL.CN",,"vegetation","N",-4.2,-29.5,0.32,53.18,167.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c98831f2-9174-450c-a4ad-45bc583fbcee","2018-06-19","TALL_061.basePlot.ltr","D08","TALL","TALL_061","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL061.20171113.NDL","NEON.LTR.TALL061.20171113.NDL.CN",,"vegetation","N",-3.1,-30.1,0.24,50.92,213.4,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Fisher Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
