uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"636175a8-23ef-4295-b566-3efd00c4a471","2018-01-09","TALL_053.basePlot.ltr","D08","TALL","TALL_053","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL053.20171113.LVS","NEON.LTR.TALL053.20171113.LVS.LIG",,1,0.485,30.97,23.87,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"fe4eb3da-4afb-4427-b115-4f7ef153cc52","2018-01-11","TALL_050.basePlot.ltr","D08","TALL","TALL_050","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL050.20171113.NDL","NEON.LTR.TALL050.20171113.NDL.LIG",,1,0.553,26.20,31.82,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"075b6efe-9943-4404-ad6e-59eb0b9b1da4","2018-01-11","TALL_043.basePlot.ltr","D08","TALL","TALL_043","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL043.20171113.NDL","NEON.LTR.TALL043.20171113.NDL.LIG",,1,0.499,27.65,29.28,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"0d70f7fe-84c4-4a5e-9c11-25a5fb4261a1","2018-01-09","TALL_057.basePlot.ltr","D08","TALL","TALL_057","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL057.20171113.NDL","NEON.LTR.TALL057.20171113.NDL.LIG",,2,0.515,27.83,31.41,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"d1a399bc-06b8-4177-ab0d-77343ad45d9a","2018-01-11","TALL_042.basePlot.ltr","D08","TALL","TALL_042","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL042.20171113.NDL","NEON.LTR.TALL042.20171113.NDL.LIG",,1,0.509,24.09,28.33,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"ecb0aeab-cab6-4d9f-a37c-4d73a9235e8b","2018-01-11","TALL_049.basePlot.ltr","D08","TALL","TALL_049","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL049.20171113.NDL","NEON.LTR.TALL049.20171113.NDL.LIG",,2,0.547,26.06,30.41,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"e99332e7-f630-43e6-95fa-968388981388","2018-01-09","TALL_060.basePlot.ltr","D08","TALL","TALL_060","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL060.20171113.NDL","NEON.LTR.TALL060.20171113.NDL.LIG",,1,0.534,28.80,24.91,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"fa51ea0a-8d08-411d-bd32-0bca7ba05317","2018-01-09","TALL_059.basePlot.ltr","D08","TALL","TALL_059","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL059.20171113.NDL","NEON.LTR.TALL059.20171113.NDL.LIG",,1,0.503,27.84,27.09,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"7c43928f-8058-4a61-8d0a-4d000dda3e01","2018-01-11","TALL_049.basePlot.ltr","D08","TALL","TALL_049","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL049.20171113.LVS","NEON.LTR.TALL049.20171113.LVS.LIG",,1,0.482,24.32,22.11,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"a088d07c-fb7a-47c5-a4ff-9d6e07ee6fae","2018-01-09","TALL_051.basePlot.ltr","D08","TALL","TALL_051","tower","2017-10-16T17:00Z","2017-11-13T18:00Z","NEON.LTR.TALL051.20171113.LVS","NEON.LTR.TALL051.20171113.LVS.LIG",,1,0.506,32.83,23.87,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
