uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"4cea4eb0-5935-4208-870f-0fa6cc6c0bbf","2021-04-01","RMNP_047.basePlot.ltr","D10","RMNP","RMNP_047","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP047.20201007.NDL","NEON.LTR.RMNP047.20201007.NDL.CN","A00000123062","vegetation","N",-0.4,-26.7,0.37,54.39,148.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"07e3e7b9-df5a-4eeb-85ec-4c53db96ef61","2021-01-18","RMNP_047.basePlot.ltr","D10","RMNP","RMNP_047","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP047.20201007.LVS","NEON.LTR.RMNP047.20201007.LVS.CN","A00000123085","vegetation","N",0.1,-27.8,0.62,49.61,81.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"a885624d-acdf-41dd-bc8c-d34227b15b70","2021-01-18","RMNP_045.basePlot.ltr","D10","RMNP","RMNP_045","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP045.20201007.NDL","NEON.LTR.RMNP045.20201007.NDL.CN","A00000123078","vegetation","N",-0.4,-27.9,0.47,53.82,119.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"448bece0-b40d-4fbe-bb18-c01ffff85077","2021-01-18","RMNP_043.basePlot.ltr","D10","RMNP","RMNP_043","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP043.20201007.NDL","NEON.LTR.RMNP043.20201007.NDL.CN","A00000123070","vegetation","N",-2.9,-27.2,0.61,54.49,91.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"399e3f4f-6885-46d5-aa99-ef42999d6bc2","2021-01-18","RMNP_044.basePlot.ltr","D10","RMNP","RMNP_044","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP044.20201007.LVS","NEON.LTR.RMNP044.20201007.LVS.CN","A00000123096","vegetation","N",0.1,-26.8,0.60,50.65,88.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"2a0d45fc-ffeb-48e2-a5a2-2d729f46e820","2021-01-18","RMNP_041.basePlot.ltr","D10","RMNP","RMNP_041","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP041.20201007.NDL","NEON.LTR.RMNP041.20201007.NDL.CN","A00000123064","vegetation","N",-0.9,-28.6,0.51,54.10,109.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"cdcca9ae-f58c-4cfc-87c2-5c346c2d5463","2021-01-18","RMNP_046.basePlot.ltr","D10","RMNP","RMNP_046","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP046.20201007.LVS","NEON.LTR.RMNP046.20201007.LVS.CN","A00000123098","vegetation","N",0.4,-26.2,0.66,51.32,81.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"2b18261b-a6ca-46be-b1a3-9876377d77f7","2021-01-18","RMNP_044.basePlot.ltr","D10","RMNP","RMNP_044","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP044.20201007.NDL","NEON.LTR.RMNP044.20201007.NDL.CN","A00000123075","vegetation","N",0.0,-27.7,0.48,48.66,105.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"561d0edb-158b-4b9c-a820-9ea301844ecd","2021-04-01","RMNP_048.basePlot.ltr","D10","RMNP","RMNP_048","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP048.20201007.NDL","NEON.LTR.RMNP048.20201007.NDL.CN","A00000123047","vegetation","N",-2.6,-26.8,0.41,54.61,133.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"7fa001a6-14ae-4f8d-acf5-3ba8475d6eb1","2021-03-23","RMNP_046.basePlot.ltr","D10","RMNP","RMNP_046","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP046.20201007.NDL","NEON.LTR.RMNP046.20201007.NDL.CN","A00000123080","vegetation","N",0.5,-27.6,0.49,53.71,109.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo Iv Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
