uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"ec1a722b-d089-4964-9949-9178a107342a","2021-02-05","RMNP_047.basePlot.ltr","D10","RMNP","RMNP_047","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP047.20201007.LVS","NEON.LTR.RMNP047.20201007.LVS.LIG","A00000123086",1,0.498,11.89,16.81,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"8c1a929e-66d2-44e3-9fbc-81eed81ab6a0","2021-02-05","RMNP_049.basePlot.ltr","D10","RMNP","RMNP_049","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP049.20201007.NDL","NEON.LTR.RMNP049.20201007.NDL.LIG","A00000123048",1,0.469,20.61,21.54,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"4960803d-54f2-498f-98ec-70f969ba0b78","2021-02-05","RMNP_046.basePlot.ltr","D10","RMNP","RMNP_046","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP046.20201007.NDL","NEON.LTR.RMNP046.20201007.NDL.LIG","A00000123079",1,0.477,27.76,21.00,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"69bd7afc-f1cc-466b-a708-2feb0dabf8d4","2021-02-05","RMNP_044.basePlot.ltr","D10","RMNP","RMNP_044","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP044.20201007.LVS","NEON.LTR.RMNP044.20201007.LVS.LIG","A00000123083",1,0.483,11.70,15.97,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"7ae21a46-9fe8-49ba-a9f1-343a6d22b70e","2021-02-05","RMNP_043.basePlot.ltr","D10","RMNP","RMNP_043","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP043.20201007.NDL","NEON.LTR.RMNP043.20201007.NDL.LIG","A00000123071",1,0.495,30.13,21.98,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"a3bcca8a-d85d-45f7-92f7-9f5454886aa7","2021-02-05","RMNP_041.basePlot.ltr","D10","RMNP","RMNP_041","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP041.20201007.NDL","NEON.LTR.RMNP041.20201007.NDL.LIG","A00000123065",1,0.479,34.91,23.02,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"5cdad053-5536-4144-a805-c939e4e76c16","2021-02-05","RMNP_047.basePlot.ltr","D10","RMNP","RMNP_047","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP047.20201007.NDL","NEON.LTR.RMNP047.20201007.NDL.LIG","A00000123063",1,0.446,19.40,20.11,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"9874ed39-3688-4ffa-846f-4eecc47ade25","2021-02-05","RMNP_045.basePlot.ltr","D10","RMNP","RMNP_045","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP045.20201007.NDL","NEON.LTR.RMNP045.20201007.NDL.LIG","A00000123077",1,0.490,30.34,22.13,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"d0b5fb4a-690b-4621-a1e5-eadaf1fd01d1","2021-02-05","RMNP_046.basePlot.ltr","D10","RMNP","RMNP_046","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP046.20201007.LVS","NEON.LTR.RMNP046.20201007.LVS.LIG","A00000123097",1,0.489,10.59,15.65,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"8e4785e4-0725-441d-b1a9-9ed7925b9fc2","2021-02-05","RMNP_044.basePlot.ltr","D10","RMNP","RMNP_044","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP044.20201007.NDL","NEON.LTR.RMNP044.20201007.NDL.LIG","A00000123074",1,0.479,16.29,17.58,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"6a0d3876-281d-470c-b56e-52fe10390a87","2021-02-05","RMNP_045.basePlot.ltr","D10","RMNP","RMNP_045","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP045.20201007.LVS","NEON.LTR.RMNP045.20201007.LVS.LIG","A00000123089",1,0.462,10.03,16.78,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
"22166c83-01de-466d-a36f-240f24b7acea","2021-02-05","RMNP_042.basePlot.ltr","D10","RMNP","RMNP_042","tower","2020-09-15T18:00Z","2020-10-07T18:00Z","NEON.LTR.RMNP042.20201007.NDL","NEON.LTR.RMNP042.20201007.NDL.LIG","A00000123068",1,0.479,28.87,21.41,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",
