uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"a8217b0f-ffb7-4e20-9e2f-6d36af0f36b6","2020-04-02","CLBJ_017.basePlot.ltr","D11","CLBJ","CLBJ_017","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ017.20191120.LVS","NEON.LTR.CLBJ017.20191120.LVS.CN","A00000135339","vegetation","N",-2.6,-29.6,1.16,47.63,41.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"cd6ccaeb-107c-4181-9b4c-140d35cc66c8","2020-04-02","CLBJ_021.basePlot.ltr","D11","CLBJ","CLBJ_021","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ021.20191120.LVS","NEON.LTR.CLBJ021.20191120.LVS.CN","A00000135359","vegetation","N",-2.4,-29.4,1.15,47.85,41.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c17b6301-7c87-49c6-9e9c-ed40b03d877e","2020-04-02","CLBJ_027.basePlot.ltr","D11","CLBJ","CLBJ_027","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ027.20191120.LVS","NEON.LTR.CLBJ027.20191120.LVS.CN","A00000135385","vegetation","N",-2.1,-29.6,1.11,47.60,42.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"2efe2223-8e14-4e1b-836b-8265d570103e","2020-04-02","CLBJ_014.basePlot.ltr","D11","CLBJ","CLBJ_014","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ014.20191120.LVS","NEON.LTR.CLBJ014.20191120.LVS.CN","A00000135349","vegetation","N",-1.8,-30.4,1.05,48.29,46.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ec62dfa0-8ce0-4333-b0df-edce8c964ac9","2020-04-02","CLBJ_007.basePlot.ltr","D11","CLBJ","CLBJ_007","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ007.20191120.LVS","NEON.LTR.CLBJ007.20191120.LVS.CN","A00000135336","vegetation","N",-1.5,-30.3,1.06,48.15,45.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b8d42434-c589-413d-9867-6b4570c7acd6","2020-04-02","CLBJ_003.basePlot.ltr","D11","CLBJ","CLBJ_003","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ003.20191120.LVS","NEON.LTR.CLBJ003.20191120.LVS.CN","A00000135332","vegetation","N",-2.4,-29.7,1.11,47.35,42.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"90767ffc-c8c8-44c2-a9b4-8aed12039932","2020-04-02","CLBJ_005.basePlot.ltr","D11","CLBJ","CLBJ_005","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ005.20191120.LVS","NEON.LTR.CLBJ005.20191120.LVS.CN","A00000135389","vegetation","N",-1.0,-29.8,1.41,45.50,32.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"bed035db-6b6d-426c-8330-bee056199d7a","2020-04-02","CLBJ_022.basePlot.ltr","D11","CLBJ","CLBJ_022","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ022.20191120.LVS","NEON.LTR.CLBJ022.20191120.LVS.CN","A00000135333","vegetation","N",-2.5,-29.6,1.01,49.22,48.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ac765467-f3c2-4fdf-bb00-3938d25bf9e5","2020-04-02","CLBJ_009.basePlot.ltr","D11","CLBJ","CLBJ_009","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ009.20191120.LVS","NEON.LTR.CLBJ009.20191120.LVS.CN","A00000135351","vegetation","N",-2.1,-30.8,0.91,45.68,50.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"7cc5b2bd-81f5-4d01-b7f1-507952f7e715","2020-04-02","CLBJ_028.basePlot.ltr","D11","CLBJ","CLBJ_028","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ028.20191120.LVS","NEON.LTR.CLBJ028.20191120.LVS.CN","A00000135328","vegetation","N",-1.7,-30.2,1.08,47.96,44.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"2ccc0c50-325b-4589-93e0-736d5e55e37b","2020-04-02","CLBJ_029.basePlot.ltr","D11","CLBJ","CLBJ_029","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ029.20191120.LVS","NEON.LTR.CLBJ029.20191120.LVS.CN","A00000135341","vegetation","N",-0.7,-29.9,1.13,47.30,42.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b76e89a8-8f5e-4ed0-9704-5dcc2fd9dde2","2020-04-02","CLBJ_016.basePlot.ltr","D11","CLBJ","CLBJ_016","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ016.20191120.LVS","NEON.LTR.CLBJ016.20191120.LVS.CN","A00000135379","vegetation","N",-2.4,-29.6,1.25,47.16,37.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"dff6b3dd-6c5c-4bb9-b6d1-d266ae0c01d4","2020-04-02","CLBJ_023.basePlot.ltr","D11","CLBJ","CLBJ_023","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ023.20191120.LVS","NEON.LTR.CLBJ023.20191120.LVS.CN","A00000135326","vegetation","N",-2.7,-29.7,0.73,49.84,67.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d38dcfb7-674e-4137-b186-b422de7124ea","2020-04-02","CLBJ_006.basePlot.ltr","D11","CLBJ","CLBJ_006","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ006.20191120.LVS","NEON.LTR.CLBJ006.20191120.LVS.CN","A00000135387","vegetation","N",-4.6,-29.5,0.66,50.39,76.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d00bf411-c9ef-4418-878f-45c0976b440d","2020-04-02","CLBJ_011.basePlot.ltr","D11","CLBJ","CLBJ_011","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ011.20191120.LVS","NEON.LTR.CLBJ011.20191120.LVS.CN","A00000135303","vegetation","N",-2.3,-29.8,1.07,48.23,45.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4c4077c0-daa7-4906-85df-0d00bee3687e","2020-04-02","CLBJ_012.basePlot.ltr","D11","CLBJ","CLBJ_012","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ012.20191120.LVS","NEON.LTR.CLBJ012.20191120.LVS.CN","A00000135380","vegetation","N",-1.8,-29.3,1.09,48.02,43.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"8ca9014b-171e-4046-a282-7cdd45dc220b","2020-04-02","CLBJ_026.basePlot.ltr","D11","CLBJ","CLBJ_026","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ026.20191120.LVS","NEON.LTR.CLBJ026.20191120.LVS.CN","A00000135366","vegetation","N",-2.7,-30.5,1.09,48.18,44.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"a5a46d9e-4bab-468c-837f-53c7742614b9","2020-04-02","CLBJ_015.basePlot.ltr","D11","CLBJ","CLBJ_015","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ015.20191120.LVS","NEON.LTR.CLBJ015.20191120.LVS.CN","A00000135308","vegetation","N",-2.1,-30.1,1.02,48.19,47.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
