uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"71315f90-164f-4d56-8f49-762d12af5dac","2020-02-19","CLBJ_007.basePlot.ltr","D11","CLBJ","CLBJ_007","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ007.20191120.LVS","NEON.LTR.CLBJ007.20191120.LVS.LIG","A00000135376",1,0.474,21.49,18.11,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"a624a7f0-bb6e-49cd-a6dc-556606951a5a","2020-02-19","CLBJ_009.basePlot.ltr","D11","CLBJ","CLBJ_009","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ009.20191120.LVS","NEON.LTR.CLBJ009.20191120.LVS.LIG","A00000135350",1,0.464,19.95,18.99,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"0b94e8e4-3537-4022-a9ee-443a4df189b1","2020-02-19","CLBJ_011.basePlot.ltr","D11","CLBJ","CLBJ_011","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ011.20191120.LVS","NEON.LTR.CLBJ011.20191120.LVS.LIG","A00000135302",1,0.465,20.15,16.69,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"fa712a8b-2836-48f4-82cb-c51a8a92ccc4","2020-02-19","CLBJ_008.basePlot.ltr","D11","CLBJ","CLBJ_008","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ008.20191120.LVS","NEON.LTR.CLBJ008.20191120.LVS.LIG","A00000135305",1,0.476,23.39,19.44,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"779c9ebd-56b4-4f63-86ec-cc0d570d4c7f","2020-02-19","CLBJ_029.basePlot.ltr","D11","CLBJ","CLBJ_029","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ029.20191120.LVS","NEON.LTR.CLBJ029.20191120.LVS.LIG","A00000135340",1,0.478,20.88,17.48,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"74e73fd5-f937-4a02-90c1-2b7c266363a4","2020-02-19","CLBJ_012.basePlot.ltr","D11","CLBJ","CLBJ_012","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ012.20191120.LVS","NEON.LTR.CLBJ012.20191120.LVS.LIG","A00000135382",1,0.491,17.80,16.87,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"4a1ded71-cc0a-4227-b508-5228fd4a8672","2020-02-19","CLBJ_021.basePlot.ltr","D11","CLBJ","CLBJ_021","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ021.20191120.LVS","NEON.LTR.CLBJ021.20191120.LVS.LIG","A00000135360",1,0.462,16.84,16.05,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"01970f89-cc54-48df-acf5-653d16222ff9","2020-02-19","CLBJ_006.basePlot.ltr","D11","CLBJ","CLBJ_006","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ006.20191120.LVS","NEON.LTR.CLBJ006.20191120.LVS.LIG","A00000135388",1,0.483,22.17,19.18,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"54a564a1-866e-40b5-ad4e-31f53a7cc899","2020-02-19","CLBJ_014.basePlot.ltr","D11","CLBJ","CLBJ_014","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ014.20191120.LVS","NEON.LTR.CLBJ014.20191120.LVS.LIG","A00000135348",1,0.485,20.41,17.55,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"d9191c3d-21c3-4ca0-b020-4022454c514f","2020-02-19","CLBJ_023.basePlot.ltr","D11","CLBJ","CLBJ_023","tower","2019-11-06T18:00Z","2019-11-20T18:00Z","NEON.LTR.CLBJ023.20191120.LVS","NEON.LTR.CLBJ023.20191120.LVS.LIG","A00000135325",1,0.493,22.69,17.67,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
