uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"bb155b06-9f3d-496d-9544-c9e027f7fefd","2020-03-24","WREF_088.basePlot.ltr","D16","WREF","WREF_088","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF088.20190924.NDL","NEON.LTR.WREF088.20190924.NDL.CN","A00000106488","vegetation","N",-6.7,-29.8,0.52,53.42,102.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"195dcd51-725a-476f-b95f-b1ffb6676117","2020-03-24","WREF_075.basePlot.ltr","D16","WREF","WREF_075","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF075.20190924.NDL","NEON.LTR.WREF075.20190924.NDL.CN","A00000106521","vegetation","N",-5.6,-29.9,0.49,53.68,109.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"74e9d3a9-cb51-4785-a4b6-024c836f66c7","2020-03-24","WREF_086.basePlot.ltr","D16","WREF","WREF_086","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF086.20190924.NDL","NEON.LTR.WREF086.20190924.NDL.CN","A00000106524","vegetation","N",-6.7,-30.1,0.40,54.14,135.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"62008cca-7bef-4acf-be07-71fe5231ae88","2020-03-24","WREF_076.basePlot.ltr","D16","WREF","WREF_076","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF076.20190924.NDL","NEON.LTR.WREF076.20190924.NDL.CN","A00000106508","vegetation","N",-4.4,-27.9,0.79,55.22,69.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ebf95bd9-cc73-427d-a1c4-aa07b9b33de6","2020-03-24","WREF_079.basePlot.ltr","D16","WREF","WREF_079","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF079.20190924.NDL","NEON.LTR.WREF079.20190924.NDL.CN","A00000106495","vegetation","N",-6.1,-29.6,0.49,53.55,109.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4e7c756b-e6d0-4027-8972-9b20564fac0d","2020-03-24","WREF_072.basePlot.ltr","D16","WREF","WREF_072","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF072.20190924.NDL","NEON.LTR.WREF072.20190924.NDL.CN","A00000106516","vegetation","N",-7.6,-29.3,0.39,53.77,138.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"44b03181-1eca-4f25-88ac-eb837312cf70","2020-03-24","WREF_080.basePlot.ltr","D16","WREF","WREF_080","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF080.20190924.NDL","NEON.LTR.WREF080.20190924.NDL.CN","A00000106478","vegetation","N",-6.4,-30.0,0.45,52.46,115.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"01305d9e-94be-4c3f-8382-5f34babc21dc","2020-03-24","WREF_070.basePlot.ltr","D16","WREF","WREF_070","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF070.20190924.NDL","NEON.LTR.WREF070.20190924.NDL.CN","A00000106514","vegetation","N",-5.9,-29.8,0.48,52.68,109.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"add16c0b-6d30-4222-ab55-1d4239137076","2020-03-24","WREF_085.basePlot.ltr","D16","WREF","WREF_085","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF085.20190924.NDL","NEON.LTR.WREF085.20190924.NDL.CN","A00000106533","vegetation","N",-5.7,-29.5,0.48,53.06,110.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"26a919f2-493f-405a-9fdb-b2d4c4ef0f41","2020-03-24","WREF_084.basePlot.ltr","D16","WREF","WREF_084","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF084.20190924.NDL","NEON.LTR.WREF084.20190924.NDL.CN","A00000106536","vegetation","N",-6.2,-30.0,0.45,54.00,120.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c99a4baa-95a7-4684-8716-4f721d292357","2020-03-24","WREF_089.basePlot.ltr","D16","WREF","WREF_089","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF089.20190924.NDL","NEON.LTR.WREF089.20190924.NDL.CN","A00000106477","vegetation","N",-7.5,-30.0,0.40,54.13,134.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ebcff0b7-74c2-4df0-914d-c40b669952cd","2020-03-24","WREF_083.basePlot.ltr","D16","WREF","WREF_083","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF083.20190924.NDL","NEON.LTR.WREF083.20190924.NDL.CN","A00000106486","vegetation","N",-7.0,-29.7,0.44,53.02,120.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"a7330396-82a4-4596-b698-eab33b1051e1","2020-03-24","WREF_078.basePlot.ltr","D16","WREF","WREF_078","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF078.20190924.NDL","NEON.LTR.WREF078.20190924.NDL.CN","A00000106518","vegetation","N",-5.5,-30.1,0.47,53.09,113.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1900563b-3947-401f-8e67-098e2a215e50","2020-03-24","WREF_071.basePlot.ltr","D16","WREF","WREF_071","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF071.20190924.NDL","NEON.LTR.WREF071.20190924.NDL.CN","A00000106503","vegetation","N",-6.1,-30.1,0.44,53.03,120.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"27a3c2a9-2950-4085-a00e-d43375e9ff36","2020-03-24","WREF_074.basePlot.ltr","D16","WREF","WREF_074","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF074.20190924.NDL","NEON.LTR.WREF074.20190924.NDL.CN","A00000106511","vegetation","N",-7.4,-29.4,0.43,54.13,125.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"5970a403-55b5-4b4d-a939-7a8393bc2e4e","2020-03-24","WREF_082.basePlot.ltr","D16","WREF","WREF_082","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF082.20190924.NDL","NEON.LTR.WREF082.20190924.NDL.CN","A00000106481","vegetation","N",-5.7,-29.7,0.47,53.44,113.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
