uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"68bd8fe1-a328-432a-bb2a-7131f724fa5b","2020-02-14","WREF_084.basePlot.ltr","D16","WREF","WREF_084","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF084.20190924.NDL","NEON.LTR.WREF084.20190924.NDL.LIG","A00000106535",1,0.484,34.48,19.68,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"1be7a948-658e-48e7-a91b-55dfc5e8231b","2020-02-14","WREF_086.basePlot.ltr","D16","WREF","WREF_086","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF086.20190924.NDL","NEON.LTR.WREF086.20190924.NDL.LIG","A00000106525",1,0.468,33.82,19.02,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"20118d48-7709-4fff-b6d5-762d12d91ce9","2020-02-14","WREF_083.basePlot.ltr","D16","WREF","WREF_083","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF083.20190924.NDL","NEON.LTR.WREF083.20190924.NDL.LIG","A00000106485",1,0.464,30.94,20.86,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"a54903ed-7ffe-44fc-89f1-3d64b8ad53be","2020-02-14","WREF_077.basePlot.ltr","D16","WREF","WREF_077","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF077.20190924.NDL","NEON.LTR.WREF077.20190924.NDL.LIG","A00000106498",1,0.498,33.76,18.69,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"efbdb5d3-ba2c-4d69-acdc-ee623d99d217","2020-02-14","WREF_079.basePlot.ltr","D16","WREF","WREF_079","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF079.20190924.NDL","NEON.LTR.WREF079.20190924.NDL.LIG","A00000106496",1,0.477,34.13,18.59,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"1846a2bd-88cb-4d7d-91bd-518f72c195fb","2020-02-14","WREF_075.basePlot.ltr","D16","WREF","WREF_075","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF075.20190924.NDL","NEON.LTR.WREF075.20190924.NDL.LIG","A00000106522",1,0.477,31.05,19.70,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"7a0994ee-890f-4978-93b9-729c7cbd9723","2020-02-14","WREF_076.basePlot.ltr","D16","WREF","WREF_076","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF076.20190924.NDL","NEON.LTR.WREF076.20190924.NDL.LIG","A00000106507",1,0.465,39.90,17.87,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"68775e77-ae15-4ed9-a98f-03f56c7873ef","2020-02-14","WREF_085.basePlot.ltr","D16","WREF","WREF_085","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF085.20190924.NDL","NEON.LTR.WREF085.20190924.NDL.LIG","A00000106532",1,0.453,32.68,20.84,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"1ae0392f-36e3-4879-bda4-b1f686aa1761","2020-02-14","WREF_087.basePlot.ltr","D16","WREF","WREF_087","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF087.20190924.NDL","NEON.LTR.WREF087.20190924.NDL.LIG","A00000106491",1,0.454,33.55,21.17,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"ffd03d14-fdfb-4bd0-bb76-2da086474092","2020-02-14","WREF_073.basePlot.ltr","D16","WREF","WREF_073","tower","2019-08-26T19:00Z","2019-09-24T19:00Z","NEON.LTR.WREF073.20190924.NDL","NEON.LTR.WREF073.20190924.NDL.LIG","A00000106501",1,0.493,30.14,17.09,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
