uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"9e936050-ba7c-4562-877e-36384768a449","2020-03-20","SJER_049.basePlot.ltr","D17","SJER","SJER_049","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER049.20191007.LVS","NEON.LTR.SJER049.20191007.LVS.CN","A00000098095","vegetation","N",-2.5,-28.5,0.98,48.87,49.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"90a5ba42-6e2d-4297-995d-43891782d939","2020-03-20","SJER_050.basePlot.ltr","D17","SJER","SJER_050","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER050.20191007.LVS","NEON.LTR.SJER050.20191007.LVS.CN","A00000026777","vegetation","N",-3.6,-27.8,0.91,48.89,53.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"aa44c276-2509-4e4f-bc59-5e36fc1b68f8","2020-03-20","SJER_055.basePlot.ltr","D17","SJER","SJER_055","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER055.20191007.LVS","NEON.LTR.SJER055.20191007.LVS.CN","A00000026724","vegetation","N",-2.3,-28.8,1.04,46.97,45.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"3bc41c61-a172-4148-9690-c00e23db3e05","2020-03-20","SJER_050.basePlot.ltr","D17","SJER","SJER_050","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER050.20191007.NDL","NEON.LTR.SJER050.20191007.NDL.CN","A00000026798","vegetation","N",-3.6,-26.6,0.75,52.21,69.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"934e62c9-d17d-407e-892e-18680c5a76fa","2020-03-20","SJER_058.basePlot.ltr","D17","SJER","SJER_058","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER058.20191007.LVS","NEON.LTR.SJER058.20191007.LVS.CN","A00000026746","vegetation","N",-3.5,-28.5,1.04,47.25,45.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"8e08cdfe-40fd-48d8-9f27-885efd381581","2020-03-20","SJER_054.basePlot.ltr","D17","SJER","SJER_054","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER054.20191007.LVS","NEON.LTR.SJER054.20191007.LVS.CN","A00000026797","vegetation","N",-2.5,-28.6,1.37,45.40,33.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"092aa9b4-9fce-4904-b5b9-7f0d605201f4","2020-03-20","SJER_061.basePlot.ltr","D17","SJER","SJER_061","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER061.20191007.LVS","NEON.LTR.SJER061.20191007.LVS.CN","A00000098091","vegetation","N",-1.3,-28.9,1.08,46.81,43.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ad4d4fe4-3bee-4c1e-8b66-6b34ade074c6","2020-03-20","SJER_057.basePlot.ltr","D17","SJER","SJER_057","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER057.20191007.LVS","NEON.LTR.SJER057.20191007.LVS.CN","A00000026786","vegetation","N",-2.0,-28.2,1.16,45.73,39.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"8a696a04-f1b7-46b2-8e69-9010bfc4e902","2020-03-20","SJER_047.basePlot.ltr","D17","SJER","SJER_047","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER047.20191007.NDL","NEON.LTR.SJER047.20191007.NDL.CN","A00000026765","vegetation","N",-2.7,-27.5,0.90,52.32,58.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1c9ab1be-5fff-46e5-88c4-36707b713018","2020-03-20","SJER_059.basePlot.ltr","D17","SJER","SJER_059","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER059.20191007.NDL","NEON.LTR.SJER059.20191007.NDL.CN","A00000026737","vegetation","N",-3.3,-25.5,0.61,51.41,83.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
