uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"a1743f54-da43-4325-9334-1a1a6c39353c","2020-01-30","SJER_059.basePlot.ltr","D17","SJER","SJER_059","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER059.20191007.LVS","NEON.LTR.SJER059.20191007.LVS.LIG","A00000026747",1,0.482,13.43,12.09,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"e7eebfe6-bd38-479c-8b83-203dfe882d44","2020-01-30","SJER_051.basePlot.ltr","D17","SJER","SJER_051","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER051.20191007.LVS","NEON.LTR.SJER051.20191007.LVS.LIG","A00000026785",1,0.494,17.32,17.80,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"e3e6aca6-7133-4a63-89fe-861d37aaf079","2020-01-30","SJER_064.basePlot.ltr","D17","SJER","SJER_064","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER064.20191007.NDL","NEON.LTR.SJER064.20191007.NDL.LIG","A00000026758",1,0.454,23.88,23.91,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"42602ff1-ce65-4b4f-b221-1eeb526c0a2a","2020-01-30","SJER_056.basePlot.ltr","D17","SJER","SJER_056","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER056.20191007.LVS","NEON.LTR.SJER056.20191007.LVS.LIG","A00000026726",1,0.466,11.13,13.60,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"3ccc0978-0717-46f0-aa07-e55ff5304ae2","2020-01-30","SJER_052.basePlot.ltr","D17","SJER","SJER_052","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER052.20191007.LVS","NEON.LTR.SJER052.20191007.LVS.LIG","A00000026725",1,0.458,10.74,23.24,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"57750182-0c1e-4a0b-a4d1-06fe254eb1fd","2020-01-30","SJER_055.basePlot.ltr","D17","SJER","SJER_055","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER055.20191007.LVS","NEON.LTR.SJER055.20191007.LVS.LIG","A00000098101",1,0.468,10.04,13.32,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"4a1545ac-9784-4081-8bce-89094073598b","2020-01-30","SJER_047.basePlot.ltr","D17","SJER","SJER_047","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER047.20191007.NDL","NEON.LTR.SJER047.20191007.NDL.LIG","A00000026755",1,0.482,23.94,21.62,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"c4f24214-5cfe-464d-8bf3-4e5bc07d2ac6","2020-01-30","SJER_050.basePlot.ltr","D17","SJER","SJER_050","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER050.20191007.NDL","NEON.LTR.SJER050.20191007.NDL.LIG","A00000026796",1,0.492,24.78,22.86,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"2ac8de40-db31-446b-a1a1-349917364fc2","2020-01-30","SJER_057.basePlot.ltr","D17","SJER","SJER_057","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER057.20191007.LVS","NEON.LTR.SJER057.20191007.LVS.LIG","A00000026776",1,0.469,10.29,13.27,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"c8246b55-9ca8-4dbc-9f52-ba8e5600bfc6","2020-01-30","SJER_058.basePlot.ltr","D17","SJER","SJER_058","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER058.20191007.LVS","NEON.LTR.SJER058.20191007.LVS.LIG","A00000026736",1,0.473,11.07,15.85,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"72bbeab4-6c11-40ee-add4-c6cc43b188bb","2020-01-30","SJER_049.basePlot.ltr","D17","SJER","SJER_049","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER049.20191007.LVS","NEON.LTR.SJER049.20191007.LVS.LIG","A00000026718",1,0.486,15.33,22.94,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"60d10173-e9e5-4fa9-bfea-a808f13e0bae","2020-01-30","SJER_054.basePlot.ltr","D17","SJER","SJER_054","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER054.20191007.LVS","NEON.LTR.SJER054.20191007.LVS.LIG","A00000026787",1,0.487,9.43,12.45,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"1c3e6853-f2b3-4c85-b1da-a4a9f1f37c75","2020-01-30","SJER_063.basePlot.ltr","D17","SJER","SJER_063","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER063.20191007.LVS","NEON.LTR.SJER063.20191007.LVS.LIG","A00000026738",1,0.470,10.67,13.29,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"f7894f0d-b5ed-4fa2-9462-a492ee3a0452","2020-01-30","SJER_062.basePlot.ltr","D17","SJER","SJER_062","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER062.20191007.LVS","NEON.LTR.SJER062.20191007.LVS.LIG","A00000098094",1,0.461,11.79,12.34,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"7a5db7bf-66bb-472f-b9cf-57381cd9c7da","2020-01-30","SJER_053.basePlot.ltr","D17","SJER","SJER_053","tower","2019-09-10T19:00Z","2019-10-07T19:00Z","NEON.LTR.SJER053.20191007.LVS","NEON.LTR.SJER053.20191007.LVS.LIG","A00000026728",1,0.480,10.60,12.63,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
