uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"b151bd4c-e428-423b-bfe3-dc63ca15cb91","2019-04-19","SOAP_053.basePlot.ltr","D17","SOAP","SOAP_053","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP053.20181022.NDL","NEON.LTR.SOAP053.20181022.NDL.CN","A00000061759","vegetation","N",-4.8,-25.3,1.41,49.83,35.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"497b48f7-03ff-4bfd-92f7-dc8f2e00da39","2019-04-19","SOAP_053.basePlot.ltr","D17","SOAP","SOAP_053","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP053.20181022.LVS","NEON.LTR.SOAP053.20181022.LVS.CN","A00000061761","vegetation","N",,-31.0,,50.85,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"21623586-1995-4cb3-a929-d314fb61ae16","2019-04-19","SOAP_046.basePlot.ltr","D17","SOAP","SOAP_046","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP046.20181022.NDL","NEON.LTR.SOAP046.20181022.NDL.CN","A00000061711","vegetation","N",-3.3,-26.3,1.25,48.95,39.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"9210cc15-e255-4436-8906-f40dfbcdf69d","2019-04-19","SOAP_045.basePlot.ltr","D17","SOAP","SOAP_045","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP045.20181022.LVS","NEON.LTR.SOAP045.20181022.LVS.CN","A00000061719","vegetation","N",-3.8,-27.5,1.10,47.63,43.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"6723c2dd-c7ce-4cff-b77b-c8853f7c08de","2019-04-26","SOAP_053.basePlot.ltr","D17","SOAP","SOAP_053","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP053.20181022.LVS","NEON.LTR.SOAP053.20181022.LVS.CN","A00000061761","vegetation","Y",-3.9,,0.48,,,"OK","OK","OK","OK",1,"CO2 trapped","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b4e15a28-f9bd-445f-84a7-26b872bbb26e","2019-04-19","SOAP_050.basePlot.ltr","D17","SOAP","SOAP_050","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP050.20181022.LVS","NEON.LTR.SOAP050.20181022.LVS.CN","A00000061747","vegetation","N",,-26.8,,50.26,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"f30909f6-a795-497d-82b5-96e4d210189a","2019-04-19","SOAP_055.basePlot.ltr","D17","SOAP","SOAP_055","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP055.20181022.NDL","NEON.LTR.SOAP055.20181022.NDL.CN","A00000061766","vegetation","N",-4.9,-25.9,1.27,50.11,39.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4a8ca9d5-cba1-4da9-9408-ddfd0ea8dd19","2019-04-19","SOAP_049.basePlot.ltr","D17","SOAP","SOAP_049","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP049.20181022.NDL","NEON.LTR.SOAP049.20181022.NDL.CN","A00000061741","vegetation","N",-5.6,-25.7,1.53,50.17,32.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"dd2572f1-6f11-4de6-97c7-554edcc448f0","2019-04-18","SOAP_031.basePlot.ltr","D17","SOAP","SOAP_031","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP031.20181022.NDL","NEON.LTR.SOAP031.20181022.NDL.CN","A00000061716","vegetation","N",-5.5,-27.0,1.14,50.52,44.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"caa55886-c408-497a-81fc-5cf85807b5fb","2019-04-26","SOAP_058.basePlot.ltr","D17","SOAP","SOAP_058","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP058.20181022.LVS","NEON.LTR.SOAP058.20181022.LVS.CN","A00000061713","vegetation","Y",-4.1,,0.38,,,"OK","OK","OK","OK",1,"CO2 trapped","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
