uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"002c8e82-6532-455d-8de5-5955789debc7","2019-03-26","SOAP_056.basePlot.ltr","D17","SOAP","SOAP_056","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP056.20181022.LVS","NEON.LTR.SOAP056.20181022.LVS.LIG","A00000061774",1,0.501,15.18,18.50,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"e6dc5a00-eb37-4194-86ef-bb6b58bd16fa","2019-03-21","SOAP_055.basePlot.ltr","D17","SOAP","SOAP_055","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP055.20181022.LVS","NEON.LTR.SOAP055.20181022.LVS.LIG","A00000061768",1,0.503,18.75,21.04,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"3a1c8a58-1ea1-4a09-8211-7016651c4c15","2019-03-26","SOAP_056.basePlot.ltr","D17","SOAP","SOAP_056","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP056.20181022.NDL","NEON.LTR.SOAP056.20181022.NDL.LIG","A00000061776",1,0.492,30.81,31.66,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"ca0e1e14-0b60-443d-9576-0ca58de167af","2019-03-26","SOAP_053.basePlot.ltr","D17","SOAP","SOAP_053","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP053.20181022.NDL","NEON.LTR.SOAP053.20181022.NDL.LIG","A00000061760",1,0.491,31.57,30.68,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"fb48cde8-ea26-4c1d-b846-df9537d573ce","2019-03-21","SOAP_045.basePlot.ltr","D17","SOAP","SOAP_045","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP045.20181022.LVS","NEON.LTR.SOAP045.20181022.LVS.LIG","A00000061729",2,0.499,14.28,19.88,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"7989d25e-604d-4b1d-9d1a-637770332ebf","2019-03-26","SOAP_049.basePlot.ltr","D17","SOAP","SOAP_049","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP049.20181022.LVS","NEON.LTR.SOAP049.20181022.LVS.LIG","A00000061746",1,0.511,14.16,17.11,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"29cbee28-1c86-4a56-bc2d-65d42981d099","2019-03-21","SOAP_054.basePlot.ltr","D17","SOAP","SOAP_054","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP054.20181022.LVS","NEON.LTR.SOAP054.20181022.LVS.LIG","A00000061763",1,0.510,21.66,18.92,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"00094c65-8cb4-4423-987b-3caded7c4289","2019-03-26","SOAP_050.basePlot.ltr","D17","SOAP","SOAP_050","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP050.20181022.LVS","NEON.LTR.SOAP050.20181022.LVS.LIG","A00000061748",1,0.519,20.33,25.41,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"b3335628-eae8-49da-9d4b-109aa5e758d0","2019-03-21","SOAP_031.basePlot.ltr","D17","SOAP","SOAP_031","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP031.20181022.NDL","NEON.LTR.SOAP031.20181022.NDL.LIG","A00000061717",1,0.494,27.49,25.91,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"3a9cdfa7-9698-4d1c-9a9e-1d63254991b8","2019-03-26","SOAP_056.basePlot.ltr","D17","SOAP","SOAP_056","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP056.20181022.LVS","NEON.LTR.SOAP056.20181022.LVS.LIG","A00000061774",2,0.490,15.52,19.76,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"da9f1b53-2442-4396-a660-f6ca746bfe32","2019-03-21","SOAP_046.basePlot.ltr","D17","SOAP","SOAP_046","tower","2018-09-24T19:00Z","2018-10-22T19:00Z","NEON.LTR.SOAP046.20181022.LVS","NEON.LTR.SOAP046.20181022.LVS.LIG","A00000061733",1,0.497,18.75,20.06,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
