uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"d5e75112-f898-4f31-b05a-7c384f71cd31","2020-01-15","BONA_083.basePlot.ltr","D19","BONA","BONA_083","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA083.20190917.LVS","NEON.LTR.BONA083.20190917.LVS.LIG","A00000102003",1,0.470,38.24,14.80,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"fcf7a794-96fa-4020-b5ed-e7dd8604052f","2020-01-15","BONA_073.basePlot.ltr","D19","BONA","BONA_073","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA073.20190917.NDL","NEON.LTR.BONA073.20190917.NDL.LIG","A00000102027",1,0.462,28.61,17.45,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"cd12bfe0-1740-4756-92de-0447e89877e5","2020-01-15","BONA_077.basePlot.ltr","D19","BONA","BONA_077","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA077.20190917.LVS","NEON.LTR.BONA077.20190917.LVS.LIG","A00000101989",1,0.483,40.12,15.24,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"6304cca9-42bc-45a4-901b-4df27dddfc66","2020-01-15","BONA_076.basePlot.ltr","D19","BONA","BONA_076","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA076.20190917.NDL","NEON.LTR.BONA076.20190917.NDL.LIG","A00000102033",1,0.501,14.26,16.17,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"bb560770-4c4d-419e-be95-d389df93d1f1","2020-01-15","BONA_075.basePlot.ltr","D19","BONA","BONA_075","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA075.20190917.LVS","NEON.LTR.BONA075.20190917.LVS.LIG","A00000101986",1,0.482,26.25,15.68,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"5a769be8-0288-4145-a42e-c350c2de7a4e","2020-01-15","BONA_093.basePlot.ltr","D19","BONA","BONA_093","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA093.20190917.LVS","NEON.LTR.BONA093.20190917.LVS.LIG","A00000102017",1,0.480,27.09,15.55,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"b035729d-7a97-4fc4-99ec-dd5b02e5a156","2020-01-15","BONA_070.basePlot.ltr","D19","BONA","BONA_070","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA070.20190917.NDL","NEON.LTR.BONA070.20190917.NDL.LIG","A00000102021",1,0.499,18.09,16.64,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"c65a54a8-ef91-4722-94b9-6f6b2c4057f2","2020-01-15","BONA_087.basePlot.ltr","D19","BONA","BONA_087","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA087.20190917.LVS","NEON.LTR.BONA087.20190917.LVS.LIG","A00000102009",1,0.474,21.45,16.32,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"bbd877fb-de50-449c-af12-1010509c4296","2020-01-15","BONA_088.basePlot.ltr","D19","BONA","BONA_088","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA088.20190917.LVS","NEON.LTR.BONA088.20190917.LVS.LIG","A00000102012",1,0.471,24.26,15.27,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"bc4d6e99-34fd-4631-8bbe-c039113387eb","2020-01-15","BONA_076.basePlot.ltr","D19","BONA","BONA_076","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA076.20190917.LVS","NEON.LTR.BONA076.20190917.LVS.LIG","A00000101987",1,0.498,23.88,15.78,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
