uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"5905b435-ce33-4a61-af49-35e4da230f59","2019-01-28","DEJU_048.basePlot.ltr","D19","DEJU","DEJU_048","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU048.20180924.NDL","NEON.LTR.DEJU048.20180924.NDL.CN","A00000065366","vegetation","N",,-28.9,,51.33,,"OK","OK","OK","OK",1,"Nitrogen peak too small. Data removed","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"568a11de-9b34-4482-bed2-92bccc6768a1","2019-01-28","DEJU_063.basePlot.ltr","D19","DEJU","DEJU_063","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU063.20180924.NDL","NEON.LTR.DEJU063.20180924.NDL.CN","A00000065360","vegetation","N",,-29.1,,50.87,,"OK","OK","OK","OK",1,"Nitrogen peak too small. Data removed","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"0a68ecdf-47b7-43d9-becd-635a0b3bec0d","2019-01-28","DEJU_064.basePlot.ltr","D19","DEJU","DEJU_064","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU064.20180924.NDL","NEON.LTR.DEJU064.20180924.NDL.CN","A00000065374","vegetation","N",,-29.1,,51.18,,"OK","OK","OK","OK",1,"Nitrogen peak too small. Data removed","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b13dad86-1c48-468e-83e8-23220661abf5","2019-02-12","DEJU_062.basePlot.ltr","D19","DEJU","DEJU_062","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU062.20180924.NDL","NEON.LTR.DEJU062.20180924.NDL.CN","A00000065369","vegetation","Y",-5.8,,0.27,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ffe65b76-2154-4e93-9a6e-de7403cbdbe3","2019-02-12","DEJU_051.basePlot.ltr","D19","DEJU","DEJU_051","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU051.20180924.NDL","NEON.LTR.DEJU051.20180924.NDL.CN","A00000065362","vegetation","Y",-5.3,,0.35,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"a461812f-167d-4e2c-8706-db224aa07f23","2019-01-28","DEJU_053.basePlot.ltr","D19","DEJU","DEJU_053","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU053.20180924.NDL","NEON.LTR.DEJU053.20180924.NDL.CN","A00000065372","vegetation","N",,-28.6,,51.07,,"OK","OK","OK","OK",1,"Nitrogen peak too small. Data removed","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d6b4accc-d3dc-484e-bd98-d818bfe7cd04","2019-01-28","DEJU_051.basePlot.ltr","D19","DEJU","DEJU_051","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU051.20180924.LVS","NEON.LTR.DEJU051.20180924.LVS.CN","A00000065376","vegetation","N",-4.2,-30.9,0.60,49.61,82.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"9059da4d-3bd7-4e54-bb2a-b2a10de5f466","2019-02-12","DEJU_046.basePlot.ltr","D19","DEJU","DEJU_046","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU046.20180924.NDL","NEON.LTR.DEJU046.20180924.NDL.CN","A00000065378","vegetation","Y",-4.9,,0.37,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"72da847b-6df6-40fd-aeff-bc5135cec92f","2019-01-28","DEJU_063.basePlot.ltr","D19","DEJU","DEJU_063","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU063.20180924.NDL","NEON.LTR.DEJU063.20180924.NDL.CN","A00000065360","vegetation","N",,-29.2,,50.80,,"OK","OK","OK","OK",2,"Nitrogen peak too small. Data removed","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"789e52b6-e85b-4c03-9239-d7692e34bb0b","2019-02-12","DEJU_058.basePlot.ltr","D19","DEJU","DEJU_058","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU058.20180924.NDL","NEON.LTR.DEJU058.20180924.NDL.CN","A00000065351","vegetation","Y",-5.4,,0.28,,,"OK","OK","OK","OK",1,"CO2 trapped to get good nitrogen data","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n, & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
