uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"8fc052dd-e225-4f89-be06-a77b8dae0269","2018-10-31","DEJU_059.basePlot.ltr","D19","DEJU","DEJU_059","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU059.20180924.NDL","NEON.LTR.DEJU059.20180924.NDL.LIG","A00000065353",1,0.491,18.26,19.74,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"9791cc9d-15de-443b-a473-d10a29782c9e","2018-10-31","DEJU_053.basePlot.ltr","D19","DEJU","DEJU_053","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU053.20180924.NDL","NEON.LTR.DEJU053.20180924.NDL.LIG","A00000065373",1,0.484,16.33,18.84,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"b8779a8e-db73-4e9a-a353-ce46ebf15497","2018-10-31","DEJU_058.basePlot.ltr","D19","DEJU","DEJU_058","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU058.20180924.NDL","NEON.LTR.DEJU058.20180924.NDL.LIG","A00000065350",2,0.472,13.69,17.87,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"9aaf35f8-fc29-4e4b-a0ba-a60170d16278","2018-10-31","DEJU_062.basePlot.ltr","D19","DEJU","DEJU_062","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU062.20180924.NDL","NEON.LTR.DEJU062.20180924.NDL.LIG","A00000065368",1,0.501,14.50,18.81,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"8491f806-a2e0-4cce-8ac6-4a0186fc489a","2018-10-31","DEJU_060.basePlot.ltr","D19","DEJU","DEJU_060","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU060.20180924.NDL","NEON.LTR.DEJU060.20180924.NDL.LIG","A00000065356",1,0.474,16.36,18.78,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"a01ffd6b-1b34-435e-a7fd-396cc293e4ef","2018-10-31","DEJU_051.basePlot.ltr","D19","DEJU","DEJU_051","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU051.20180924.NDL","NEON.LTR.DEJU051.20180924.NDL.LIG","A00000065363",1,0.475,14.06,19.21,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"b4e34a08-78e7-46fc-9c65-1c9c81de3b43","2018-10-31","DEJU_058.basePlot.ltr","D19","DEJU","DEJU_058","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU058.20180924.NDL","NEON.LTR.DEJU058.20180924.NDL.LIG","A00000065350",1,0.499,14.46,17.89,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"365d5601-2807-430e-9056-5c3b0e52b5c4","2018-10-31","DEJU_048.basePlot.ltr","D19","DEJU","DEJU_048","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU048.20180924.NDL","NEON.LTR.DEJU048.20180924.NDL.LIG","A00000065367",1,0.487,16.96,18.81,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"56ccb473-86d8-4bbb-828d-30ac1a2bee8f","2018-10-31","DEJU_063.basePlot.ltr","D19","DEJU","DEJU_063","tower","2018-08-27T20:00Z","2018-09-24T20:00Z","NEON.LTR.DEJU063.20180924.NDL","NEON.LTR.DEJU063.20180924.NDL.LIG","A00000065361",1,0.488,14.09,18.56,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"a65a267e-983d-4760-9910-221b3cbe1291","2018-10-31","DEJU_061.basePlot.ltr","D19","DEJU","DEJU_061","tower","2018-08-27T20:00Z","2018-09-25T20:00Z","NEON.LTR.DEJU061.20180925.NDL","NEON.LTR.DEJU061.20180925.NDL.LIG","A00000065370",1,0.475,14.64,17.53,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
