site_horizon_inc,FLF.gC100g,OCC.gC100g,HF.gC100g
JORN_2Bk1_PRE,0,0.036,0.3996
JORN_Ak_PRE,0.080575,0.0192,0.1994
JORN_Bk1_PRE,0.032,0,0.01
SRER_Ak1_PRE,0.06515,0.02486,0.1993
SRER_Bw_PRE,0.046,0.036,3.07692
SRER_Ck_PRE,0,0,0.0999
ONAQ_Ak_PRE,0.24013,0.036,0.5928
ONAQ_Bk1_PRE,0.04546,0,0.1996
ONAQ_Bk2_PRE,0.01548,0,0.0999
MOAB_A_PRE,0.1002,0.03078,0.2587
MOAB_Bk1_PRE,0.08775,0.03036,0.01
MOAB_Bk3_PRE,0,0.036,0.0999
SJER_A_PRE,0.09948,0.02486,0.46812
SJER_Bw1_PRE,0,0,0.02997
CPER_A1_PRE,0.20619,0.03806,0.50439
CPER_Btk3_PRE,0.032,0,0.1
CPER_Bw1_PRE,0.1138,0.03285,0.22793
STER_Ap1_PRE,0.11375,0.1568,0.65406
STER_Bkt1_PRE,0.01736,0.04312,0.1996
STER_Bkt2_PRE,0.0226,0,0.8991
OAES_Ak_PRE,0.2526,0.11472,1.1844
OAES_Bk1_PRE,0.06266,0,0.0998
OAES_Bk2_PRE,0,0,0.8991
NGPR_A_PRE,0.54474,0.15908,1.72575
NGPR_Bt1_PRE,0.05696,0.09928,0.92535
NGPR_Btk1_PRE,0.0657,0.10606,0.3984
WOOD_2Ck_PRE,0,0,0.5
WOOD_Apk_PRE,0.410205,0.09685,0.6881
WOOD_Bk1_PRE,0.06042,0.036,0.5988
DCFS_A1_PRE,0.99,0.37668,3.73512
DCFS_Bk2_PRE,0.03774,0.05778,0.8982
DCFS_Bw1_PRE,0.06378,0.08828,0.87736
CLBJ_A1_PRE,0.9006,0.03776,0.90024
CLBJ_Bt1_PRE,0.04994,0.0318,0.209685
CLBJ_Bt4_PRE,0.06795,0.0289,0.16966
SOAP_A_PRE,0.59218,0.04197,0.02904
SOAP_Bt1_PRE,0.19905,0.03974,0.21868
SOAP_Bt3_PRE,0.03691,0,0.15984
KONA_Ap_PRE,0.04545,0.03411,1.48553
KONA_Bt1_PRE,0.0367,0,0.94905
KONA_Btk_PRE,0,0.0213,0.01
DSNY_A_PRE,1.31076,0.20592,0.02835
DSNY_Bh1_PRE,0.89775,0.28271,0.39396
DSNY_Bh2_PRE,0.18277,0.08331,0.4257
KONZ_A1_PRE,0.1554,0.04427,1.75761
KONZ_Bt1_PRE,0.06892,0,0.88822
KONZ_Bt2_PRE,0.03271,0,0.2997
OSBS_A_PRE,0.29656,0.04235,0.1976
OSBS_Bw1_PRE,0.08222,0.02772,0.104685
OSBS_Bw3_PRE,0.016,0.02278,0.02997
BLAN_Ap1_PRE,0.09884,0.08304,1.28097
BLAN_Bt1_PRE,0,0.03323,0.229655
BLAN_Bt3_PRE,0,0.036,0.109853333
LENO_A2_PRE,0.1955,0.12813,0.91356
LENO_Bg_PRE,0.0781,0.0996,0.51792
LENO_Btg3_PRE,0.03524,0,0.55944
SCBI_A_PRE,0.512,0.1825,2.77752
SCBI_Bt1_PRE,0.0195,0.074,0.23928
SCBI_Bt2_PRE,0.04498,0.04704,0.41832
DELA_A_PRE,0.1636,0.08492,1.5345
DELA_Btg1_PRE,0,0,0.18981
DELA_Btg3_PRE,0,0.01609,0.114885
SERC_A_PRE,0.36777,0.1518,2.43048
SERC_Bt1_PRE,0.04427,0.06598,0.25948
SERC_Btg3_PRE,0,0.00898,0.16966
TALL_A1_PRE,1.2219,0.09525,0.78327
TALL_Bt1_PRE,0.03387,0,0.10989
TALL_Bt3_PRE,0,0,0.03
RMNP_A1_PRE,0.9048,0.21435,0.81144
RMNP_B/C_PRE,0.01723,0.04001,0.1048425
RMNP_Bt_PRE,0.09627,0.09078,0.2982
STEI_A1_PRE,0.88263,0.24857,2.1735
STEI_BC2_PRE,0,0,0.03
STEI_Bs1_PRE,0.18845,0.02709,0.38766
TREE_A1_PRE,0.62272,0.23975,1.58274
TREE_BC1_PRE,0.04175,0,0.10989
TREE_Bs2_PRE,0.07906,0.0461,0.35892
UNDE_A_PRE,0.59283,0.20046,1.47896
UNDE_Bhs_PRE,0.06488,0.0265,0.87736
UNDE_Bs1_PRE,0.0383,0.018,0.409385
GRSM_A_PRE,0.38272,0.20165,3.13577
GRSM_Bt1_PRE,0.07466,0.09084,0.498
GRSM_Bt2_PRE,0.03862,0.03538,0.11988
MLBS_A_PRE,4.85184,2.12754,4.23604
MLBS_Bg_PRE,0,0,0.35964
MLBS_Bw1_PRE,0,0.16806,0.81754
HARV_Bw1_PRE,0.27738,0.08745,1.42272
HARV_Bw3_PRE,0.06704,0.0256,0.48853
HARV_OA_PRE,31.30308,0.4242,0.4862
NIWO_A_PRE,1.70225,0.27672,4.0291
NIWO_Bw1_PRE,0.03118,0.0063,0.50898
NIWO_Bw2_PRE,0.03452,0,0.40959
BART_BC_PRE,0,0,0.025
BART_Bgs1_PRE,0.07106,0,0.08982
BART_OA_PRE,25.93168,0.59755,1.1573
WREF_A1_PRE,0.88601,0.11004,1.84508
WREF_Bw1_PRE,0.12364,0.038,0.60695
WREF_Bw2_PRE,0.06408,0.0379,0.50847
ABBY_A_PRE,1.6758,0.26089,2.88835
ABBY_BC_PRE,0,0,0.11
ABBY_Bt1_PRE,0.30232,0.17888,0.8398
