site_id,horizon,incubation,fraction,site_id_horizon_incubation_fraction,AMS_lab,AMS_lab_id,fraction_modern,fraction_modern_error,Delta14C,Delta14C_error,age_14C,age_14C_error,d13C,date_measured
ABBY,A,PRE,BULK,ABBY_A_PRE_BULK,UCI,198844,1.0065,0.0016,-1.8,1.6,MODERN,NA,inline corr.,2018-01-26
ABBY,BC,PRE,BULK,ABBY_BC_PRE_BULK,UCI,198846,0.62549999999999994,0.0014,-379.7,1.4,3845,45,inline corr.,2018-01-26
ABBY,Bt1,PRE,BULK,ABBY_Bt1_PRE_BULK,UCI,198845,0.8196,0.0012,-187.1,1.2,1600,15,inline corr.,2018-01-26
BARR,Af,PRE,BULK,BARR_Af_PRE_BULK,UCI,219263,0.44429999999999997,0.0022,-559.4,2.2,6515,40,inline,2019-06-21
BARR,OACfjj,PRE,BULK,BARR_OACfjj_PRE_BULK,UCI,219273,0.38350000000000001,8e-4,-619.7,0.8,7700,20,inline,2019-06-21
BARR,Oaf,PRE,BULK,BARR_Oaf_PRE_BULK,UCI,219272,0.62070000000000003,9e-4,-384.5,0.9,3830,15,inline,2019-06-21
BART,BC,PRE,BULK,BART_BC_PRE_BULK,NA,NA,No data - wouldn't graphititze,NA,NA,NA,NA,NA,NA,NA
BART,Bgs1,PRE,BULK,BART_Bgs1_PRE_BULK,UCI,187392,0.66259999999999997,0.0012,-342.7,1.2,3305,20,inline corr.,2017-04-17
BART,OA,PRE,BULK,BART_OA_PRE_BULK,UCI,187391,1.131,0.0016,121.9,1.6,Modern,NA,inline corr.,2017-04-17
BLAN,Ap1,PRE,BULK,BLAN_Ap1_PRE_BULK,UCI,173182,1.0341,0.0037,25.9,3.7,>modern,NA,-25,2016-01-26
BLAN,Bt1,PRE,BULK,BLAN_Bt1_PRE_BULK,UCI,173183,0.76319999999999999,0.0027,-242.9,2.7,2170,30,-25,2016-01-26
BLAN,Bt3,PRE,BULK,BLAN_Bt3_PRE_BULK,UCI,173184,0.46510000000000001,0.0031,-538.6,3.1,6150,60,-25,2016-01-26
BONA,Bfgjj,PRE,BULK,BONA_Bfgjj_PRE_BULK,UCI,219264,0.69210000000000005,0.0016,-313.7,1.6,2955,20,inline,2019-06-21
BONA,Cfgjj,PRE,BULK,BONA_Cfgjj_PRE_BULK,UCI,219265,0.44950000000000001,0.0021,-554.2,2.1,6425,40,inline,2019-06-21
BONA,Oea,PRE,BULK,BONA_Oea_PRE_BULK,UCI,219274,0.9929,0.0014,-15.4,1.4,55,15,inline,2019-06-21
CLBJ,A1,PRE,BULK,CLBJ_A1_PRE_BULK,UCI,189060,1.0593999999999999,0.0019,50.8,1.9,Modern,NA,inline corr.,2017-06-05
CLBJ,Bt1,PRE,BULK,CLBJ_Bt1_PRE_BULK,UCI,189061,0.84099999999999997,0.0014,-165.8,1.4,1390,15,inline corr.,2017-06-05
CLBJ,Bt4,PRE,BULK,CLBJ_Bt4_PRE_BULK,UCI,189062,0.90159999999999996,0.0018,-105.7,1.8,830,20,inline corr.,2017-06-05
CPER,A1,PRE,BULK,CPER_A1_PRE_BULK,UCI,173176,1.0431999999999999,0.0037,34.9,3.7,>modern,NA,-25,2016-01-26
CPER,Btk3,PRE,BULK,CPER_Btk3_PRE_BULK,UCI,173178,0.54220000000000002,0.0024,-462.1,2.4,4920,40,-25,2016-01-26
CPER,Bw1,PRE,BULK,CPER_Bw1_PRE_BULK,UCI,173177,0.84970000000000001,0.003,-157.1,3,1310,30,-25,2016-01-26
DCFS,A1,PRE,BULK,DCFS_A1_PRE_BULK,CAMS,174748,1.0045999999999999,0.0041,-3.4,4.1,>modern,35,-25,2016-06-22
DCFS,Bk2,PRE,BULK,DCFS_Bk2_PRE_BULK,UCI,177211,0.37259999999999999,0.0014,-630.5,1.4,7930,35,inline corr.,2016-08-21
DCFS,Bw1,PRE,BULK,DCFS_Bw1_PRE_BULK,CAMS,174749,0.53569999999999995,0.0019,-468.5,1.9,5015,30,-25,2016-06-22
DEJU,2BC1,PRE,BULK,DEJU_2BC1_PRE_BULK,UCI,219262,0.51480000000000004,0.002,-489.5,2,5335,35,inline,2019-06-21
DEJU,A,PRE,BULK,DEJU_A_PRE_BULK,UCI,219271,1.1488,0.002,139.2,2,Modern,NA,inline,2019-06-21
DEJU,Bw1,PRE,BULK,DEJU_Bw1_PRE_BULK,UCI,219261,0.89290000000000003,0.0021,-114.6,2.1,910,20,inline,2019-06-21
DELA,A,PRE,BULK,DELA_A_PRE_BULK,UCI,219258,0.91400000000000003,0.0015,-93.6,1.5,720,15,inline,2019-06-21
DELA,Btg1,PRE,BULK,DELA_Btg1_PRE_BULK,UCI,219259,0.73099999999999998,0.0022,-275,2.2,2515,25,inline,2019-06-21
DELA,Btg3,PRE,BULK,DELA_Btg3_PRE_BULK,UCI,219260,0.29049999999999998,0.0028,-711.9,2.8,9930,80,inline,2019-06-21
DSNY,A,PRE,BULK,DSNY_A_PRE_BULK,UCI,173173,1.1472,0.0041,138,4.1,>modern,NA,-25,2016-01-26
DSNY,Bh1,PRE,BULK,DSNY_Bh1_PRE_BULK,UCI,173174,0.97919999999999996,0.0043,-28.6,4.3,170,40,-25,2016-01-26
DSNY,Bh2,PRE,BULK,DSNY_Bh2_PRE_BULK,UCI,173175,0.8952,0.0032,-111.9,3.2,890,30,-25,2016-01-26
GRSM,A,PRE,BULK,GRSM_A_PRE_BULK,UCI,180446,1.0063,0.0015,-1.7,1.5,>modern,NA,inline corr.,2016-11-06
GRSM,Bt1,PRE,BULK,GRSM_Bt1_PRE_BULK,UCI,180447,0.80369999999999997,0.0012,-202.6,1.2,1755,15,inline corr.,2016-11-06
GRSM,Bt2,PRE,BULK,GRSM_Bt2_PRE_BULK,UCI,180444,0.7984,0.0035,-208,3.5,1810,40,inline corr.,2016-11-06
HARV,Bw1,PRE,BULK,HARV_Bw1_PRE_BULK,UCI,198848,0.97489999999999999,0.0014,-33.1,1.4,205,15,inline corr.,2018-01-26
HARV,Bw3,PRE,BULK,HARV_Bw3_PRE_BULK,UCI,198849,0.83709999999999996,0.0018,-169.8,1.8,1430,20,inline corr.,2018-01-26
HARV,OA,PRE,BULK,HARV_OA_PRE_BULK,UCI,198847,1.1125,0.0016,103.4,1.6,MODERN,NA,inline corr.,2018-01-26
HEAL,Afjj,PRE,BULK,HEAL_Afjj_PRE_BULK,UCI,219266,0.49719999999999998,0.002,-507,2,5615,35,inline,2019-06-21
HEAL,BCfgjj,PRE,BULK,HEAL_BCfgjj_PRE_BULK,UCI,219267,0.49419999999999997,0.0019,-509.9,1.9,5660,35,inline,2019-06-21
HEAL,Oae,PRE,BULK,HEAL_Oae_PRE_BULK,UCI,219275,1.0095000000000001,0.0017,1.2,1.7,Modern,NA,inline,2019-06-21
JORN,2Bk1,PRE,BULK,JORN_2Bk1_PRE_BULK,UCI,189059,0.12839999999999999,0.0014,-872.7,1.4,16490,90,inline corr.,2017-06-05
JORN,Ak,PRE,BULK,JORN_Ak_PRE_BULK,UCI,189057,0.99180000000000001,0.002,-16.2,2,65,20,inline corr.,2017-06-05
JORN,Bk1,PRE,BULK,JORN_Bk1_PRE_BULK,UCI,189058,0.86499999999999999,0.0014,-142,1.4,1165,15,inline corr.,2017-06-05
KONA,Ap,PRE,BULK,KONA_Ap_PRE_BULK,UCI,195894,0.89670000000000005,0.0016,-110.5,1.6,875,15,inline corr.,2017-11-10
KONA,Bt1,PRE,BULK,KONA_Bt1_PRE_BULK,UCI,195895,0.7722,0.0016,-234.1,1.6,2075,20,inline corr.,2017-11-10
KONA,Btk,PRE,BULK,KONA_Btk_PRE_BULK,UCI,195896,0.40820000000000001,0.0021,-595.1,2.1,7200,45,inline corr.,2017-11-10
KONZ,A1,PRE,BULK,KONZ_A1_PRE_BULK,UCI,187395,0.98740000000000006,0.0014,-20.5,1.4,100,15,inline corr.,2017-04-17
KONZ,Bt1,PRE,BULK,KONZ_Bt1_PRE_BULK,UCI,187396,0.83489999999999998,0.0013,-171.9,1.3,1450,15,inline corr.,2017-04-17
KONZ,Bt2,PRE,BULK,KONZ_Bt2_PRE_BULK,UCI,187397,0.69259999999999999,0.0012,-313,1.2,2950,15,inline corr.,2017-04-17
LENO,A2,PRE,BULK,LENO_A2_PRE_BULK,UCI,195899,0.99660000000000004,0.0017,-11.4,1.7,25,15,inline corr.,2017-11-10
LENO,Bg,PRE,BULK,LENO_Bg_PRE_BULK,UCI,195900,0.92989999999999995,0.0016,-77.6,1.6,585,15,inline corr.,2017-11-10
LENO,Btg3,PRE,BULK,LENO_Btg3_PRE_BULK,UCI,195901,0.66700000000000004,0.0016,-338.3,1.6,3255,20,inline corr.,2017-11-10
MLBS,A,PRE,BULK,MLBS_A_PRE_BULK,UCI,200917,1.0570999999999999,0.0019,48.4,1.9,MODERN,NA,inline corr.,2018-03-15
MLBS,Bg,PRE,BULK,MLBS_Bg_PRE_BULK,UCI,223416,0.37569999999999998,0.0017,-627.4,1.7,7865,40,inline,2019-10-03
MLBS,Bw1,PRE,BULK,MLBS_Bw1_PRE_BULK,UCI,223415,0.90280000000000005,0.0021,-104.7,2.1,820,20,inline,2019-10-03
MOAB,A,PRE,BULK,MOAB_A_PRE_BULK,UCI,198850,0.97499999999999998,0.0017,-33,1.7,205,15,inline corr.,2018-01-26
MOAB,Bk1,PRE,BULK,MOAB_Bk1_PRE_BULK,UCI,200903,0.89290000000000003,0.0017,-114.4,1.7,910,20,inline corr.,2018-03-15
MOAB,Bk3,PRE,BULK,MOAB_Bk3_PRE_BULK,UCI,200904,0.52810000000000001,0.0032,-476.2,3.2,5130,50,inline corr.,2018-03-15
NGPR,A,PRE,BULK,NGPR_A_PRE_BULK,CAMS,174753,0.93789999999999996,0.0034,-69.6,3.4,515,30,-25,2016-06-22
NGPR,Bt1,PRE,BULK,NGPR_Bt1_PRE_BULK,CAMS,174754,0.62729999999999997,0.0024,-377.7,2.4,3745,35,-25,2016-06-22
NGPR,Btk1,PRE,BULK,NGPR_Btk1_PRE_BULK,CAMS,174755,0.4753,0.0017,-528.4,1.7,5975,30,-25,2016-06-22
NIWO,A,PRE,BULK,NIWO_A_PRE_BULK,UCI,189054,0.96840000000000004,0.0015,-39.4,1.5,260,15,inline corr.,2017-06-05
NIWO,Bw1,PRE,BULK,NIWO_Bw1_PRE_BULK,UCI,189055,0.72519999999999996,0.0012,-280.6,1.2,2580,15,inline corr.,2017-06-05
NIWO,Bw2,PRE,BULK,NIWO_Bw2_PRE_BULK,UCI,189056,0.68569999999999998,0.0011,-319.8,1.1,3030,15,inline corr.,2017-06-05
OAES,Ak,PRE,BULK,OAES_Ak_PRE_BULK,UCI,208661,0.99450000000000005,0.0032,-13.7,3.2,45,30,inline,2018-09-17
OAES,Bk1,PRE,BULK,OAES_Bk1_PRE_BULK,UCI,208662,0.67779999999999996,0.0022,-327.7,2.2,3125,30,inline,2018-09-17
OAES,Bk2,PRE,BULK,OAES_Bk2_PRE_BULK,UCI,208663,0.24929999999999999,0.002,-752.8,2,11160,70,inline,2018-09-17
ONAQ,Ak,PRE,BULK,ONAQ_Ak_PRE_BULK,UCI,195891,1.0246,0.0017,16.3,1.7,Modern,NA,inline corr.,2017-11-10
ONAQ,Bk1,PRE,BULK,ONAQ_Bk1_PRE_BULK,UCI,195892,0.74480000000000002,0.0017,-261.2,1.7,2365,20,inline corr.,2017-11-10
ONAQ,Bk2,PRE,BULK,ONAQ_Bk2_PRE_BULK,UCI,195893,0.54890000000000005,0.0018,-455.5,1.8,4820,30,inline corr.,2017-11-10
OSBS,A,PRE,BULK,OSBS_A_PRE_BULK,UCI,173171,1.046,0.0039,37.7,3.9,>modern,NA,-25,2016-01-26
OSBS,Bw1,PRE,BULK,OSBS_Bw1_PRE_BULK,UCI,173185,0.98480000000000001,0.0033,-23,3.3,125,30,-25,2016-01-26
OSBS,Bw3,PRE,BULK,OSBS_Bw3_PRE_BULK,UCI,173172,0.71240000000000003,0.0031,-293.2,3.1,2725,35,-25,2016-01-26
RMNP,A1,PRE,BULK,RMNP_A1_PRE_BULK,UCI,173179,1.0469999999999999,0.0037,38.7,3.7,>modern,NA,-25,2016-01-26
RMNP,B/C,PRE,BULK,RMNP_B/C_PRE_BULK,UCI,173181,0.8165,0.003,-190,3,1630,30,-25,2016-01-26
RMNP,Bt,PRE,BULK,RMNP_Bt_PRE_BULK,UCI,173180,0.8458,0.0034,-161,3.4,1345,35,-25,2016-01-26
SCBI,A,PRE,BULK,SCBI_A_PRE_BULK,UCI,198851,1.0722,0.0018,63.4,1.8,MODERN,NA,inline corr.,2018-01-26
SCBI,Bt1,PRE,BULK,SCBI_Bt1_PRE_BULK,UCI,198852,0.96679999999999999,0.0014,-41.1,1.4,270,15,inline corr.,2018-01-26
SCBI,Bt2,PRE,BULK,SCBI_Bt2_PRE_BULK,UCI,198853,1.0069999999999999,0.0021,-1.2,2.1,MODERN,NA,inline corr.,2018-01-26
SERC,A,PRE,BULK,SERC_A_PRE_BULK,CAMS,174761,1.0532029999999999,0.003722,44.828177076392976,3.721934,>modern,NA,-25,2016-06-22
SERC,Bt1,PRE,BULK,SERC_Bt1_PRE_BULK,UCI,177212,0.86399999999999999,0.0016,-142.8703250997162,1.6,1175,20,inline corr.,2016-08-21
