site_id,horizon,extract,incubation,fraction,C_conc_mg_g,C_error_mg_g
ABBY,A,CWE,PRE,BULK,0.2213525498964275,0.01096796420973569
ABBY,A,HWE,PRE,BULK,0.8913107140617633,0.03349275149124251
ABBY,AB,CWE,PRE,BULK,0.1598366591949545,0.013207348330799907
ABBY,AB,HWE,PRE,BULK,0.433997578097957,0.07264764815595545
ABBY,Bt1,CWE,PRE,BULK,0.12391394365103381,0.023995594514783673
ABBY,Bt1,HWE,PRE,BULK,0.1040933801492736,0.008670875293612882
ABBY,BC,CWE,PRE,BULK,0.1287852673930849,0.09937466859459292
ABBY,BC,HWE,PRE,BULK,0.10168142011400405,0.048928106305390726
BARR,Af,CWE,PRE,BULK,0.3857018411347495,0.07699420061142032
BARR,Af,HWE,PRE,BULK,2.2370996197876383,0.05678269249283624
BARR,Oaf,CWE,PRE,BULK,0.622215212632819,0.04089691158353648
BARR,Oaf,HWE,PRE,BULK,3.7530471073607643,0.07101931323966171
BARR,OACfjj,CWE,PRE,BULK,0.6293807268787684,0.014873591040971098
BARR,OACfjj,HWE,PRE,BULK,2.1388917746336005,0.03332175766957951
BART,AE,CWE,PRE,BULK,0.9641843533444275,0.351413227580945
BART,AE,HWE,PRE,BULK,6.888164283298267,0.26946939734494374
BART,Bgs1,CWE,PRE,BULK,0.05185021538486514,0.010248948111216566
BART,Bgs1,HWE,PRE,BULK,0.1345826675190748,0.010377546653611154
BART,BC,CWE,PRE,BULK,0.034513331612567436,0.009505969398464513
BART,BC,HWE,PRE,BULK,0.057453976044297056,0.05103333402887644
BLAN,Ap1,CWE,PRE,BULK,0.3175322858801388,0.028091864046098893
BLAN,Ap1,HWE,PRE,BULK,0.7655001485400555,0.019190920345435836
BLAN,Bt3,CWE,PRE,BULK,0.06989548211288164,0.01625909201124875
BLAN,Bt3,HWE,PRE,BULK,0.07666283456781053,0.032534687548349296
BONA,Oea,CWE,PRE,BULK,0.6877578502476834,0.2922945264335536
BONA,Oea,HWE,PRE,BULK,6.871808753445855,0.2943999501749079
BONA,Cfgjj,CWE,PRE,BULK,0.17873728055658147,0.00415536160146979
BONA,Cfgjj,HWE,PRE,BULK,0.7885272093578432,0.027710033545601764
BONA,Bfgjj,CWE,PRE,BULK,0.21306823364218386,0.0796311985135366
BONA,Bfgjj,HWE,PRE,BULK,0.8139138127206298,0.02959164765580245
CLBJ,A2,CWE,PRE,BULK,0.07019305165313372,0.038771539889231085
CLBJ,A2,HWE,PRE,BULK,0.09583499753728486,0.025430561490270426
CLBJ,A1,CWE,PRE,BULK,0.09432405860312078,0.006805283175218815
CLBJ,A1,HWE,PRE,BULK,0.5972811379118566,0.029842353141259804
CLBJ,Bt1,CWE,PRE,BULK,0.07905256023526495,0.010936871013637137
CLBJ,Bt1,HWE,PRE,BULK,0.11377271689067849,6.088490016366614e-4
CLBJ,Bt4,CWE,PRE,BULK,0.08257674668643972,0.008611822675848983
CLBJ,Bt4,HWE,PRE,BULK,0.12437105007265259,0.035742705119671314
CPER,A1,CWE,PRE,BULK,0.17853471800735962,0.0150864769030947
CPER,A1,HWE,PRE,BULK,0.3316297742189438,0.00694827622468079
CPER,Bw1,CWE,PRE,BULK,0.13272726502105095,0.014861326074308524
CPER,Bw1,HWE,PRE,BULK,0.12032130200739653,0.00851405843453871
DCFS,B/A,CWE,PRE,BULK,0.14655334258882438,0.0035667893173898383
DCFS,B/A,HWE,PRE,BULK,0.3417693026403803,0.003799385754128505
DCFS,A1,CWE,PRE,BULK,0.860695882013846,0.13723650765646556
DCFS,A1,HWE,PRE,BULK,1.6128594646665586,0.16795912075434827
DCFS,Bw1,CWE,PRE,BULK,0.1392555853208343,0.012631584094283957
DCFS,Bw1,HWE,PRE,BULK,0.3015080735795113,0.016336930776483575
DCFS,Bk2,CWE,PRE,BULK,0.06487448330522178,0.0027654857263340903
DCFS,Bk2,HWE,PRE,BULK,0.070156588069024,0.00952885333002185
DEJU,A,CWE,PRE,BULK,0.45612782217632253,0.055886192592306594
DEJU,A,HWE,PRE,BULK,5.662994577102197,0.12338849197682802
DEJU,2BC1,CWE,PRE,BULK,0.04134061220530988,0.0065488832915672306
DEJU,2BC1,HWE,PRE,BULK,0.10335904828807034,0.02194972513230531
DEJU,Bw1,CWE,PRE,BULK,0.10690250295069233,0.01488302722285077
DEJU,Bw1,HWE,PRE,BULK,0.3681537005171214,0.042605500877721726
DELA,A,CWE,PRE,BULK,0.11258794382297477,0.023365143275270242
DELA,A,HWE,PRE,BULK,0.3933320937596934,0.07098476461815331
DELA,A/B,CWE,PRE,BULK,0.05367614738256326,0.0031643622897273758
DELA,A/B,HWE,PRE,BULK,0.1313688403993957,0.023332809309135682
DELA,Btg1,CWE,PRE,BULK,0.03613236704361949,0.002371413421724026
DELA,Btg1,HWE,PRE,BULK,0.04264021942291802,0.020031274929525396
DELA,Btg3,CWE,PRE,BULK,0.04117850404506875,0.005355669023910934
DELA,Btg3,HWE,PRE,BULK,0.0438535764836577,0.003949178940289365
DSNY,A,CWE,PRE,BULK,0.12588255321201947,0.014498398834714968
DSNY,A,HWE,PRE,BULK,0.39956411174645673,0.08115162659790784
DSNY,Bh2,CWE,PRE,BULK,0.0801109033620338,0.009241883347848657
DSNY,Bh2,HWE,PRE,BULK,0.21133004887081067,0.018727491642555508
DSNY,Bh1,CWE,PRE,BULK,0.11120232820822969,0.017717011548249416
DSNY,Bh1,HWE,PRE,BULK,0.4528490058804867,0.08030546226369652
GRSM,Bt1,CWE,PRE,BULK,0.11502193652165858,0.014206061904402862
GRSM,Bt1,HWE,PRE,BULK,0.11661928053734257,0.012321436965152957
HARV,OA,CWE,PRE,BULK,2.0046997567304246,0.39093338915931053
HARV,OA,HWE,PRE,BULK,9.882447298524175,1.0229165266654678
HARV,Bw1,CWE,PRE,BULK,0.19974760755062226,0.028775582566208265
HARV,Bw1,HWE,PRE,BULK,0.49842569997711567,0.04729807584042566
HARV,Bw3,CWE,PRE,BULK,0.06713858790592027,0.009616666909532999
HARV,Bw3,HWE,PRE,BULK,0.27999602092790754,0.1431061337356548
HEAL,Afjj,CWE,PRE,BULK,0.21644373396944785,0.004579162671953284
HEAL,Afjj,HWE,PRE,BULK,1.6801952846086932,0.21409330961544054
HEAL,Oae,CWE,PRE,BULK,3.1547493885841207,0.11675440151089848
HEAL,Oae,HWE,PRE,BULK,12.35893946858666,0.38689850163792655
HEAL,BCfgjj,CWE,PRE,BULK,0.2701200287195606,0.02624196736022916
HEAL,BCfgjj,HWE,PRE,BULK,0.9953825811111121,0.08216777380937482
JORN,Ak,CWE,PRE,BULK,0.04029207787600648,0.005618067338895911
JORN,Ak,HWE,PRE,BULK,0.12158029054411168,0.0181171046688199
JORN,Bk1,CWE,PRE,BULK,0.06783965329638662,0.005567347147722249
JORN,Bk1,HWE,PRE,BULK,0.10830584349801807,0.0659179911219842
JORN,2Bk1,CWE,PRE,BULK,0.05110362878413236,0.026346307922808575
JORN,2Bk1,HWE,PRE,BULK,0.05571018056893959,0.019332930313155382
KONA,Ap,CWE,PRE,BULK,0.07304032242605833,0.009113844075907146
KONA,Ap,HWE,PRE,BULK,0.26493119052505715,0.03215940788990781
KONA,Bt1,CWE,PRE,BULK,0.07820582649574648,0.0073013083696199564
KONA,Bt1,HWE,PRE,BULK,0.18604260123776828,0.002425040679856586
KONA,Btk,CWE,PRE,BULK,0.05303474687876809,0.003918120583392443
KONA,Btk,HWE,PRE,BULK,0.05288928264873375,0.02038783213608166
KONZ,A1,CWE,PRE,BULK,0.18496737369850513,0.03424986707142875
KONZ,A1,HWE,PRE,BULK,0.6423050864744364,0.056856893538137665
KONZ,Bt1,CWE,PRE,BULK,0.14783874845460018,0.011348917971944305
KONZ,Bt1,HWE,PRE,BULK,0.37053986135223693,0.025882306285671165
KONZ,Bt2,CWE,PRE,BULK,0.0594652427701757,0.005918001924948036
KONZ,Bt2,HWE,PRE,BULK,0.18702953081712992,0.01792348415756131
LENO,A2,CWE,PRE,BULK,0.12647222703420763,0.05205974200931901
LENO,A2,HWE,PRE,BULK,0.2915757433181925,0.04816817487641661
LENO,A2,CWE,PRE,BULK,0.08960919666109995,0.013511059885333037
LENO,A2,HWE,PRE,BULK,0.33742605170689244,0.03234819719449969
LENO,Bg,CWE,PRE,BULK,0.09064345095641271,0.002708124680361159
LENO,Bg,HWE,PRE,BULK,0.2601043124957235,0.02234014161878987
LENO,Btg3,CWE,PRE,BULK,0.06429746548724975,0.01206646641604996
LENO,Btg3,HWE,PRE,BULK,0.07164781989840778,0.010398842583932715
MLBS,Bw1,CWE,PRE,BULK,0.1418625051289616,0.033256443544925754
MLBS,Bw1,HWE,PRE,BULK,0.31484377458237456,0.013763363604117975
MLBS,Bg,CWE,PRE,BULK,0.049895425492212,0.006084899016751827
MLBS,Bg,HWE,PRE,BULK,0.06143137797737985,0.015469654821283174
MOAB,A,CWE,PRE,BULK,0.09329781052479597,0.05349502145891779
MOAB,A,HWE,PRE,BULK,0.120321712690256,0.011356137119716683
MOAB,Bk1,CWE,PRE,BULK,0.06773806471761372,0.0316477270136675
MOAB,Bk1,HWE,PRE,BULK,0.12390581637291921,0.047053783325451175
MOAB,Bk3,CWE,PRE,BULK,0.045364500432290476,0.012101657971471027
MOAB,Bk3,HWE,PRE,BULK,0.07161963482454489,0.018584038140593544
NGPR,A,CWE,PRE,BULK,0.24423615658702288,0.004159923646290026
