site_id,plot,core_id,horizon,sample_id,top_depth_cm,bottom_dept_cm,thickness_cm,boundary_distinctness,color_munsell,color_moist_dry,roots,pores,effervescence_class,redoxymorphic_features,ped_void_surface_features,moisture_content_gg,dry_mass_g,ws_bulk_density_gcm3,notes
ABBY,1,ABBY140217-0101,A,ABBY140217-0101_A,0,15,15,none,10YR 3/3,moist,3-VF; 2-F,none,NE,none,none,0.5936683924881344,97.1218358408601,0.692624026044164,NA
ABBY,1,ABBY140217-0101,AB,ABBY140217-0101_AB,15,35,20,C,10YR 3.5/4,moist,"2-VF; F, M",2-VF,NE,"F3M,<5%,2mm,CONTRAST,2.5YR 4/4,M,S,MAT,VFR,C","3%,D,D,CLF,PF&RC",0.5248672214590451,159.25321010418364,0.8517852750710522,NA
ABBY,1,ABBY140217-0101,Bt1,ABBY140217-0101_Bt1,35,43,8,A,7.5YR 4/4,moist,2-VF,none,NE,none,"20%,P,D,CLF,PF",0.380605801730861,113.7544111455326,1.5210734578718172,5YR 4/4 also very close
ABBY,1,ABBY140217-0101,Bt2,ABBY140217-0101_Bt2,43,75,32,G,7.5YR 4/6,moist,2-VF; 2-F,1-VF,NE,"F3M,5%,5x3mm,CONTRAST,2.5YR3/6,M,S,MAT,VFR,C","30%,P,C,CLF,PF",0.36788277850334666,168.12844171605846,0.5620347106374359,NA
ABBY,1,ABBY140217-0101,Bt3,ABBY140217-0101_Bt3,75,88,13,C,7.5YR 5/6,moist,2-VF,2-VF,NE,"F3M,<5%,5x4mm,CONTRAST,2.5YR3/6,M,S,MAT,FR,C","20%,P,C,CLF,PF",NA,541.74,1.1326187556561866,NA
ABBY,1,ABBY140217-0101,BC,ABBY140217-0101_BC,88,115,27,C,10YR 6/6,moist,none,2-VF,NE,"MNM 1%,2x3mm,CONTRAST,10YR2/1,M,S&I,MAT,FR,S","10%,D,D,CLF,PF",0.36044378478544414,310.8323950825288,1.2315000652020482,40% 5YR 4/6
ABBY,1,ABBY140217-0101,Cr,ABBY140217-0101_Cr,115,178.5,63.5,A,2.5Y 4/4,moist,none,3-F; 2-VF,NE,none,none,0.3085525802801687,721.7516622815323,1.2158667889134454,25% 5YR 4/6
ABBY,2,ABBY140217-0201,Oe,ABBY140217-0201_Oe,0,4,4,none,none,moist,none,none,NE,none,none,0.9315068493150721,12.321985815602813,0.32952824217793025,NA
ABBY,2,ABBY140217-0201,A,ABBY140217-0201_A,4,29,25,none,10YR 3/3,moist,3-VF; 1-F,1-VF,NE,none,none,0.5327090172589429,172.0678857045207,0.7362609080712991,NA
ABBY,2,ABBY140217-0201,Bt1,ABBY140217-0201_Bt1,29,46,17,C,7.5YR 4/4,moist,2-VF; 2-F,1-F,NE,"MNM,2%,2x2mm,CONTRAST 10YR2/1,M,S,MAT,VFR,C","8%,D,D,CLF,RF",0.3928072208818307,177.61251973074624,1.11762622168472,NA
ABBY,2,ABBY140217-0201,Bt2,ABBY140217-0201_Bt2,46,80,34,C,7.5YR 4/6,moist,2-VF; 3-F,1-VF,NE,"F3M,8%,2x5mm,CONTRAST,2.5YR3/6,M,S,MAT,VFR,D","15%P,C,CLF,PF",0.3279342863355401,416.30825085896754,1.309809179468386,NA
ABBY,2,ABBY140217-0201,BC,ABBY140217-0201_BC,80,93,13,G,10YR 4/6,moist,3-F,none,NE,"F3M,5%,2x2mm,CONTRAST 2.5YR3/6,M,S,MAT,VFR,D","15%P,D,CLF,PF",0.28582677165354287,159.84268218003677,1.315289443963985,NA
ABBY,2,ABBY140217-0201,Cr,ABBY140217-0201_Cr,93,132.5,39.5,C,(70%)10YR 5/6,moist,2-F; 1-M,1-VF,NE,"F3M,10-15%,3x3mm,CONTRAST 2.5YR3/6,M,S,MAT,VFR,D","30%P,C,CLF,PF",0.26642186265251117,474.6364680889364,1.2853930177295227,(20%)2.5YR4/4 olive rock
ABBY,3,ABBY140217-0302,O/A,ABBY140217-0302_O/A,0,8,8,none,none,moist,3-VF,none,NE,none,none,0.40068960987784286,38.616692533842176,0.5163652596194809,NA
ABBY,3,ABBY140217-0302,A,ABBY140217-0302_A,8,23,15,C,10YR 3/3,moist,3-VF; 3-F,none,NE,none,none,0.20396750375920694,143.08525725330037,1.0204120019800087,NA
