site_id,horizon,incubation_treatment,temp_treatment_degC_above_MST,moisture_treatment_kPa,MST_degC,incubation_temp_degC,fraction,horizon_type,sample_name,oven_dry_mass_g,t13_cumul_resp_ugC_per_gsoil,t13_cumul_spec_resp_ugC_per_gC,t26_cumul_resp_ugC_per_gsoil,t26_cumul_spec_resp_ugC_per_gC,t52_cumul_resp_ugC_per_gsoil,t52_cumul_spec_resp_ugC_per_gC,notes
ABBY,A,0MST400,0,-400,17.2,17.5,BULK,A-Horizon,ABBY_A_0MST400_0_-400_17.2_17.5_BULK_A-Horizon,19.03,1225,17006,1658,23011,2205,30608,NA
ABBY,A,0MST150,0,-150,17.2,17.5,BULK,A-Horizon,ABBY_A_0MST150_0_-150_17.2_17.5_BULK_A-Horizon,18.98,1366,18962,1781,24723,2359,32744,NA
ABBY,A,0MST33,0,-33,17.2,17.5,BULK,A-Horizon,ABBY_A_0MST33_0_-33_17.2_17.5_BULK_A-Horizon,19.04,1406,19518,1778,24680,2356,32697,NA
ABBY,A,5MST400,5,-400,17.2,17.5,BULK,A-Horizon,ABBY_A_5MST400_5_-400_17.2_17.5_BULK_A-Horizon,18.96,1573,21828,2140,29705,3090,42895,NA
ABBY,A,5MST150,5,-150,17.2,17.5,BULK,A-Horizon,ABBY_A_5MST150_5_-150_17.2_17.5_BULK_A-Horizon,19,1694,23515,2279,31630,3081,42765,NA
ABBY,A,5MST33,5,-33,17.2,17.5,BULK,A-Horizon,ABBY_A_5MST33_5_-33_17.2_17.5_BULK_A-Horizon,19.02,1759,24416,2347,32581,3212,44590,NA
ABBY,Bt1,0MST400,0,-400,17.2,17.5,BULK,Upper B-Horizon,ABBY_Bt1_0MST400_0_-400_17.2_17.5_BULK_Upper B-Horizon,19.26,104,8441,146,11819,222,17920,NA
ABBY,Bt1,0MST150,0,-150,17.2,17.5,BULK,Upper B-Horizon,ABBY_Bt1_0MST150_0_-150_17.2_17.5_BULK_Upper B-Horizon,19.28,110,8854,156,12643,246,19880,NA
ABBY,Bt1,0MST33,0,-33,17.2,17.5,BULK,Upper B-Horizon,ABBY_Bt1_0MST33_0_-33_17.2_17.5_BULK_Upper B-Horizon,19.33,118,9503,171,13796,271,21863,NA
ABBY,Bt1,5MST400,5,-400,17.2,17.5,BULK,Upper B-Horizon,ABBY_Bt1_5MST400_5_-400_17.2_17.5_BULK_Upper B-Horizon,19.26,139,11270,210,16928,349,28189,NA
ABBY,Bt1,5MST150,5,-150,17.2,17.5,BULK,Upper B-Horizon,ABBY_Bt1_5MST150_5_-150_17.2_17.5_BULK_Upper B-Horizon,19.32,157,12698,237,19116,370,29878,NA
ABBY,Bt1,5MST33,5,-33,17.2,17.5,BULK,Upper B-Horizon,ABBY_Bt1_5MST33_5_-33_17.2_17.5_BULK_Upper B-Horizon,19.28,153,12388,227,18362,362,29233,NA
BLAN,Ap1,0MST400,0,-400,23,22.5,BULK,A-Horizon,BLAN_Ap1_0MST400_0_-400_23_22.5_BULK_A-Horizon,19.76,964,65073,1273,85947,1810,122208,NA
BLAN,Ap1,0MST150,0,-150,23,22.5,BULK,A-Horizon,BLAN_Ap1_0MST150_0_-150_23_22.5_BULK_A-Horizon,19.77,946,63845,1225,82684,1776,119908,NA
BLAN,Ap1,0MST33,0,-33,23,22.5,BULK,A-Horizon,BLAN_Ap1_0MST33_0_-33_23_22.5_BULK_A-Horizon,19.77,1112,75112,1502,101400,2238,151075,NA
BLAN,Ap1,5MST400,5,-400,23,22.5,BULK,A-Horizon,BLAN_Ap1_5MST400_5_-400_23_22.5_BULK_A-Horizon,19.78,1205,81373,1694,114379,2583,174382,NA
BLAN,Ap1,5MST150,5,-150,23,22.5,BULK,A-Horizon,BLAN_Ap1_5MST150_5_-150_23_22.5_BULK_A-Horizon,19.76,1210,81670,1770,119493,2766,186779,NA
BLAN,Ap1,5MST33,5,-33,23,22.5,BULK,A-Horizon,BLAN_Ap1_5MST33_5_-33_23_22.5_BULK_A-Horizon,19.76,1265,85404,1815,122541,2746,185413,NA
BLAN,Bt1,0MST400,0,-400,23,22.5,BULK,Upper B-Horizon,BLAN_Bt1_0MST400_0_-400_23_22.5_BULK_Upper B-Horizon,19.47,67,30781,75,34684,131,60261,NA
BLAN,Bt1,0MST150,0,-150,23,22.5,BULK,Upper B-Horizon,BLAN_Bt1_0MST150_0_-150_23_22.5_BULK_Upper B-Horizon,19.48,93,42803,105,48294,157,72424,NA
BLAN,Bt1,0MST33,0,-33,23,22.5,BULK,Upper B-Horizon,BLAN_Bt1_0MST33_0_-33_23_22.5_BULK_Upper B-Horizon,19.47,91,41896,131,60363,207,95119,NA
BLAN,Bt1,5MST400,5,-400,23,22.5,BULK,Upper B-Horizon,BLAN_Bt1_5MST400_5_-400_23_22.5_BULK_Upper B-Horizon,19.43,78,35690,102,46941,180,83043,NA
BLAN,Bt1,5MST150,5,-150,23,22.5,BULK,Upper B-Horizon,BLAN_Bt1_5MST150_5_-150_23_22.5_BULK_Upper B-Horizon,19.47,82,37974,95,43509,170,78204,NA
BLAN,Bt1,5MST33,5,-33,23,22.5,BULK,Upper B-Horizon,BLAN_Bt1_5MST33_5_-33_23_22.5_BULK_Upper B-Horizon,19.47,104,48040,123,56715,183,84347,NA
CLBJ,A1,0MST400,0,-400,27.5,27.5,BULK,A-Horizon,CLBJ_A1_0MST400_0_-400_27.5_27.5_BULK_A-Horizon,19.84,958,65045,1456,98896,2108,143167,NA
