site_id,horizon,incubation,fraction,site_id_horizon_incubation_fraction,horizon_type,pH,LOI_g100g,bpca_total_bpca_gkgsoil,Al_NH4Act_ugg,Ca_NH4Act_ugg,K_NH4Act_ugg,Mg_NH4Act_ugg,Na_NH4Act_ugg,Al_KCl_ugg,Fe_KCl_ugg,proportion_sand,proportion_silt,proportion_clay,total_ssa_m2g,notes
WREF,A1,PRE,BULK,WREF_A1_PRE_BULK,A-Horizon,4.87,10.532,0.9815159410000001,27.94,129.61,92.47,23.41,47.74,92.8,5.61,6.53,61.14,32.33,7.63511508,NA
WREF,Bw1,PRE,BULK,WREF_Bw1_PRE_BULK,Upper B-Horizon,6.36,5.547,0.235662399,2.23,82.91,70.99,14.93,88.13,5.76,0.67,9.8,62.35,27.85,7.22134189,NA
WREF,Bw2,PRE,BULK,WREF_Bw2_PRE_BULK,Lower B-Horizon,6.61,4.89,0.19738420199999998,6.99,73.32,45.1,12.03,85.79,6.48,0.74,4.78,61.06,34.16,8.09847929,NA
LENO,A2,PRE,BULK,LENO_A2_PRE_BULK,A-Horizon,5.9,5.88,0.170387464,0,2346.56,154.32,271.02,202.87,53.05,0.84,9.43,71.85,18.72,4.28419092,NA
LENO,Bg,PRE,BULK,LENO_Bg_PRE_BULK,Upper B-Horizon,5.79,4.263,0.137033211,0,1313.58,91.66,132.71,150.02,66.9,0.73,23.77,65.7,10.53,2.92845868,NA
LENO,Btg3,PRE,BULK,LENO_Btg3_PRE_BULK,Lower B-Horizon,5.35,5.338,0.127877553,0,1928.53,164.04,169.9,252.14,471.2,0.94,6.02,68.94,25.04,5.17113137,NA
KONA,Ap,PRE,BULK,KONA_Ap_PRE_BULK,A-Horizon,5.62,5.702,0.336569828,0,3438.51,240.45,405.11,167.15,3.24,0.69,4.15,75.76,20.09,4.36881797,NA
KONA,Bt1,PRE,BULK,KONA_Bt1_PRE_BULK,Upper B-Horizon,6.2,5.041,0.15555328200000001,0,4171.74,284.01,568.46,220.73,3.05,0.67,2.71,74.88,22.41,3.22583236,NA
KONA,Btk,PRE,BULK,KONA_Btk_PRE_BULK,Lower B-Horizon,6.52,3.81,0.011595996000000003,0,5641.52,298.31,599.87,339.38,3.09,0.75,0.21,70.08,29.71,7.4124295,NA
OAES,Ak,PRE,BULK,OAES_Ak_PRE_BULK,A-Horizon,6.62,5.007,0.082742124,0,5064.23,237.27,659.59,131.96,3.26,0.69,11.14,67.69,21.17,5.24302295,NA
OAES,Bk1,PRE,BULK,OAES_Bk1_PRE_BULK,Upper B-Horizon,6.84,3.743,NA,0,5067.4,133.32,628.37,198.08,2.99,0.65,3.79,67.67,28.54,6.98334049,NA
OAES,Bk2,PRE,BULK,OAES_Bk2_PRE_BULK,Lower B-Horizon,7.16,2.303,5.4e-4,0,4477.77,129.98,687.1,175.27,3.01,0.68,4.18,68.69,27.13,7.21762383,NA
NIWO,A,PRE,BULK,NIWO_A_PRE_BULK,A-Horizon,5.55,14.491,1.385340409,NA,1384.46,222.51,154.9,88.85,68.49,3.38,26.28,57.78,15.94,4.3542116,NA
